values parameter type
39452.1643502738 theta theta
14950.8293625247 theta theta
49428.0405038157 theta theta
24870.8389093288 theta theta
12687.9106335379 theta theta
17516.6896004848 theta theta
21296.8236266728 theta theta
26613.9044874705 theta theta
13829.8131553714 theta theta
10871.7960449387 theta theta
24768.691664787 theta theta
25345.1268334574 theta theta
22857.6789016888 theta theta
37559.3720181164 theta theta
23589.7193293593 theta theta
22502.1914384857 theta theta
17417.8158411879 theta theta
30160.3982411524 theta theta
62413.1661575955 theta theta
39290.7514803291 theta theta
32703.0156853373 theta theta
33062.5942623571 theta theta
10006.2061366041 theta theta
40322.6079219727 theta theta
11411.4221796917 theta theta
86402.8999458214 theta theta
16689.3083357205 theta theta
29824.9931595528 theta theta
