id np ll boot p1 p2 nu0 nu1 nu2 T1 T2 T3 theta
344522 6 -71943.3288933669 pCA.n.c_81.sfs pCA.n pCA.c [1.710e-03 78.32 0.002542 0.01833 5.978 1.000e-03] 62413.1661575955
281952 6 -71644.1399028106 pCA.n.c_82.sfs pCA.n pCA.c [1.010e-03 47.72 0.002918 0.04085 9.605 1.000e-03] 39290.7514803291
509206 6 -71759.4341796522 pCA.n.c_85.sfs pCA.n pCA.c [1.010e-03 27.4 0.004103 0.04025 11.94 1.099e-03] 32703.0156853373
347904 6 -71931.531622506 pCA.n.c_90.sfs pCA.n pCA.c [1.036e-03 79.05 0.003274 0.003808 11.31 1.193e-03] 33062.5942623571
995542 6 -71857.5240648563 pCA.n.c_92.sfs pCA.n pCA.c [1.096e-03 93.78 0.003967 0.004019 38.79 1.083e-03] 10006.2061366041
40145 6 -71672.6327053111 pCA.n.c_93.sfs pCA.n pCA.c [4.703e-03 61.76 0.002913 0.03694 9.138 1.034e-03] 40322.6079219727
982475 6 -71770.9436555218 pCA.n.c_94.sfs pCA.n pCA.c [1.010e-03 73.5 0.004725 0.00555 34.28 1.219e-03] 11411.4221796917
423521 6 -71791.683191255 pCA.n.c_95.sfs pCA.n pCA.c [3.525e-03 41.18 0.00291 0.003856 3.953 1.082e-03] 86402.8999458214
470788 6 -71872.9511971683 pCA.n.c_96.sfs pCA.n pCA.c [1.010e-03 56.23 0.004409 0.02988 23.27 1.204e-03] 16689.3083357205
852700 6 -71777.8178645926 pCA.n.c_98.sfs pCA.n pCA.c [2.956e-03 70.58 0.003645 0.003297 12.22 1.267e-03] 29824.9931595528
