"x" "y" "layer"
"11" -120.638576084673 35.1 77.9
"137" -120.638576084673 35 77.1
"263" -120.638576084673 35 82.1
"388" -120.671034465902 35 94.9
"389" -120.638576084673 35 50.2
"514" -120.671034465902 34.9 91.2
"515" -120.638576084673 34.9 77.6
"640" -120.671034465902 34.9 143.3
"641" -120.638576084673 34.9 256
"766" -120.671034465902 34.9 144.9
"767" -120.638576084673 34.9 60.7
"893" -120.638576084673 34.9 297.7
"894" -120.606117703444 34.9 72.7
"1020" -120.606117703444 34.8 152.2
"1145" -120.638576084673 34.8 84.4
"1146" -120.606117703444 34.8 59.2
"1271" -120.638576084673 34.8 68.3
"1272" -120.606117703444 34.8 168.6
"1397" -120.638576084673 34.8 88.3
"1398" -120.606117703444 34.8 123.5
"1523" -120.638576084673 34.7 50.7
"1524" -120.606117703444 34.7 98.7
"1650" -120.606117703444 34.7 94.8
"1776" -120.606117703444 34.7 72
"1777" -120.573659322215 34.7 55.9
"1901" -120.638576084673 34.6 231.5
"1902" -120.606117703444 34.6 68.6
"2027" -120.638576084673 34.6 245.6
"2028" -120.606117703444 34.6 56.6
"2153" -120.638576084673 34.6 146.1
"2279" -120.638576084673 34.6 116
"2280" -120.606117703444 34.6 178.8
"2281" -120.573659322215 34.6 214.3
"2407" -120.573659322215 34.5 80.6
"2408" -120.541200940987 34.5 126.3
"2409" -120.508742559758 34.5 49.5
"2535" -120.508742559758 34.5 69.2
"2536" -120.476284178529 34.5 189
"2661" -120.508742559758 34.5 88.5
"2662" -120.476284178529 34.5 143.7
"2668" -120.281533891157 34.5 101.3
"2669" -120.249075509929 34.5 210.6
"2670" -120.2166171287 34.5 120.2
"2671" -120.184158747471 34.5 98.5
"2672" -120.151700366243 34.5 146.5
"2673" -120.119241985014 34.5 81
"2674" -120.086783603785 34.5 55.8
"2788" -120.476284178529 34.5 174.9
"2789" -120.443825797301 34.5 88.2
"2790" -120.411367416072 34.5 59.3
"2791" -120.378909034843 34.5 69.6
"2792" -120.346450653615 34.5 66.4
"2793" -120.313992272386 34.5 139.4
"2794" -120.281533891157 34.5 61.5
"2795" -120.249075509929 34.5 171.3
"2796" -120.2166171287 34.5 189.6
"2797" -120.184158747471 34.5 122.3
"2798" -120.151700366243 34.5 58
"2799" -120.119241985014 34.5 66.7
"2800" -120.086783603785 34.5 69.4
"2801" -120.054325222557 34.5 95.5
"2802" -120.021866841328 34.5 81.5
"2803" -119.989408460099 34.5 57.1
"2804" -119.956950078871 34.5 117
"2915" -120.443825797301 34.4 239.2
"2930" -119.956950078871 34.4 116.6
"2931" -119.924491697642 34.4 94
"2932" -119.892033316413 34.4 95.9
"2934" -119.827116553956 34.4 47
"2939" -119.664824647812 34.4 72.6
"2940" -119.632366266584 34.4 65.9
"2941" -119.599907885355 34.4 75.1
"3058" -119.892033316413 34.4 51.6
"3059" -119.859574935184 34.4 51.8
"3063" -119.72974141027 34.4 75.9
"3064" -119.697283029041 34.4 72.8
"3065" -119.664824647812 34.4 83.5
"3066" -119.632366266584 34.4 89.2
"3067" -119.599907885355 34.4 87.3
"3068" -119.567449504126 34.4 81.9
"3069" -119.534991122898 34.4 79.5
"3070" -119.502532741669 34.4 89.6
"3196" -119.502532741669 34.4 67.8
"3197" -119.47007436044 34.4 69
"3198" -119.437615979212 34.4 67.7
"3324" -119.437615979212 34.3 79.8
"3325" -119.405157597983 34.3 100.5
"3451" -119.405157597983 34.3 99.9
"3452" -119.372699216754 34.3 113.2
"3453" -119.340240835526 34.3 153.2
"3579" -119.340240835526 34.3 110.7
"3580" -119.307782454297 34.3 154.1
"3706" -119.307782454297 34.3 147
"3707" -119.275324073068 34.3 111.3
"3833" -119.275324073068 34.2 136.5
"3834" -119.242865691839 34.2 150
