"x" "y" "layer"
"1" -121.704404573604 36.2 279.9
"2" -121.67158642457 36.2 286.8
"137" -121.67158642457 36.2 250.8
"138" -121.638768275536 36.2 304
"273" -121.638768275536 36.1 268.3
"408" -121.638768275536 36.1 281.2
"409" -121.605950126502 36.1 322.9
"544" -121.605950126502 36.1 275.2
"679" -121.605950126502 36 305.8
"680" -121.573131977468 36 297
"815" -121.573131977468 36 282.1
"816" -121.540313828433 36 250.3
"817" -121.507495679399 36 274.5
"952" -121.507495679399 36 288.9
"1088" -121.474677530365 36 277.3
"1223" -121.474677530365 35.9 291.3
"1358" -121.474677530365 35.9 332.1
"1493" -121.474677530365 35.9 332.1
"1494" -121.441859381331 35.9 305.1
"1630" -121.409041232297 35.9 305.1
"1765" -121.409041232297 35.8 332.1
"1766" -121.376223083263 35.8 322.6
"1902" -121.343404934229 35.8 313.6
"2038" -121.310586785195 35.8 332.1
"2173" -121.310586785195 35.7 342.2
"2308" -121.310586785195 35.7 216.3
"2443" -121.310586785195 35.7 257.4
"2444" -121.277768636161 35.7 237.7
"2579" -121.277768636161 35.7 233.5
"2580" -121.244950487126 35.7 252.4
"2716" -121.212132338092 35.6 275.9
"2717" -121.179314189058 35.6 213.2
"2718" -121.146496040024 35.6 304.7
"2853" -121.146496040024 35.6 94.7
"2854" -121.11367789099 35.6 96.9
"2989" -121.11367789099 35.6 236.4
"3124" -121.11367789099 35.6 204
"3125" -121.080859741956 35.6 298.5
"3260" -121.080859741956 35.5 193
"3396" -121.048041592922 35.5 302.2
"3397" -121.015223443888 35.5 97.5
"3532" -121.015223443888 35.5 91.8
"3533" -120.982405294854 35.5 68.6
"3534" -120.94958714582 35.5 97.5
"3667" -121.015223443888 35.4 232.1
"3668" -120.982405294854 35.4 74.7
"3669" -120.94958714582 35.4 74.1
"3670" -120.916768996785 35.4 84.2
"3671" -120.883950847751 35.4 210.5
"3806" -120.883950847751 35.4 98
"3941" -120.883950847751 35.4 281.2
"3942" -120.851132698717 35.4 236.3
"4076" -120.883950847751 35.4 280.9
"4077" -120.851132698717 35.4 271.2
"4211" -120.883950847751 35.3 135.6
"4212" -120.851132698717 35.3 193.1
"4346" -120.883950847751 35.3 233.8
