"x" "y" "layer"
"17" -120.643312531417 35.1 56.7
"18" -120.610897672515 35.1 57
"154" -120.643312531417 35.1 56.6
"155" -120.610897672515 35.1 57.5
"291" -120.643312531417 35 55.9
"292" -120.610897672515 35 57.2
"428" -120.643312531417 35 55
"565" -120.643312531417 35 54.5
"702" -120.643312531417 35 51.8
"838" -120.675727390319 34.9 82.9
"839" -120.643312531417 34.9 83.4
"975" -120.675727390319 34.9 75.3
"976" -120.643312531417 34.9 86
"1113" -120.643312531417 34.9 89.6
"1114" -120.610897672515 34.9 90
"1251" -120.610897672515 34.9 62.6
"1388" -120.610897672515 34.8 78
"1524" -120.643312531417 34.8 264.9
"1525" -120.610897672515 34.8 85.7
"1661" -120.643312531417 34.8 146.1
"1662" -120.610897672515 34.8 100.2
"1798" -120.643312531417 34.7 67.2
"1799" -120.610897672515 34.7 60.9
"1936" -120.610897672515 34.7 96.2
"2073" -120.610897672515 34.7 55.3
"2074" -120.578482813613 34.7 54.8
"2210" -120.610897672515 34.7 67.9
"2346" -120.643312531417 34.6 108.2
"2347" -120.610897672515 34.6 69.2
"2483" -120.643312531417 34.6 100.8
"2620" -120.643312531417 34.6 149.6
"2757" -120.643312531417 34.6 66
"2758" -120.610897672515 34.6 101.7
"2759" -120.578482813613 34.6 101.2
"2760" -120.546067954712 34.6 103.2
"2897" -120.546067954712 34.5 101
"2898" -120.51365309581 34.5 82.8
"3035" -120.51365309581 34.5 104.5
"3036" -120.481238236908 34.5 92.3
"3173" -120.481238236908 34.5 97.7
"3176" -120.383993660202 34.5 231.8
"3177" -120.351578801301 34.5 139.1
"3178" -120.319163942399 34.5 98.5
"3179" -120.286749083497 34.5 76.1
"3180" -120.254334224595 34.5 66.4
"3181" -120.221919365693 34.5 97.2
"3182" -120.189504506792 34.5 151.7
"3183" -120.15708964789 34.5 169.4
"3184" -120.124674788988 34.5 96.8
"3185" -120.092259930086 34.5 74.5
"3186" -120.059845071184 34.5 75.4
"3187" -120.027430212282 34.5 61.9
"3188" -119.995015353381 34.5 60.1
"3310" -120.481238236908 34.4 65.7
"3311" -120.448823378006 34.4 50.4
"3312" -120.416408519104 34.4 86.5
"3313" -120.383993660202 34.4 71.3
"3314" -120.351578801301 34.4 106.4
"3322" -120.092259930086 34.4 378.8
"3324" -120.027430212282 34.4 249.2
"3325" -119.995015353381 34.4 137.5
"3326" -119.962600494479 34.4 67.4
"3327" -119.930185635577 34.4 71.6
"3464" -119.930185635577 34.4 73.2
"3465" -119.897770776675 34.4 70.7
"3466" -119.865355917773 34.4 46.2
"3469" -119.768111341068 34.4 44
"3470" -119.735696482166 34.4 44
"3473" -119.638451905461 34.4 41.5
"3474" -119.606037046559 34.4 41.5
"3475" -119.573622187657 34.4 60.1
"3476" -119.541207328755 34.4 56.8
"3604" -119.832941058872 34.4 40.6
"3607" -119.735696482166 34.4 44.4
"3613" -119.541207328755 34.4 45.1
"3614" -119.508792469853 34.4 79.7
"3615" -119.476377610952 34.4 63.5
"3616" -119.44396275205 34.4 183.1
"3752" -119.476377610952 34.4 83.9
"3753" -119.44396275205 34.4 83.6
"3754" -119.411547893148 34.4 179
"3891" -119.411547893148 34.3 84.2
"3892" -119.379133034246 34.3 119.8
"4028" -119.411547893148 34.3 294.5
"4029" -119.379133034246 34.3 94.9
"4030" -119.346718175344 34.3 54.1
"4167" -119.346718175344 34.3 182
"4168" -119.314303316442 34.3 84.9
"4169" -119.281888457541 34.3 99.4
"4306" -119.281888457541 34.3 55.3
"4307" -119.249473598639 34.3 57.9
"4443" -119.281888457541 34.2 162.8
"4444" -119.249473598639 34.2 131.2
"4581" -119.249473598639 34.2 52.8
"4718" -119.249473598639 34.2 52.4
"4719" -119.217058739737 34.2 167.9
"4856" -119.217058739737 34.1 160.9
"4857" -119.184643880835 34.1 167.4
"4994" -119.184643880835 34.1 82.9
"4995" -119.152229021933 34.1 117.5
"5134" -119.08739930413 34.1 163.6
"5135" -119.054984445228 34.1 54.5
"5245" -119.930185635577 34.1 64.4
"5246" -119.897770776675 34.1 105.7
"5273" -119.022569586326 34.1 55
"5383" -119.897770776675 34 103.1
"5384" -119.865355917773 34 109.5
"5520" -119.897770776675 34 109
"5534" -119.44396275205 34 206.6
"5535" -119.411547893148 34 147.4
"5536" -119.379133034246 34 241.9
"5537" -119.346718175344 34 41.5
"5563" -118.503931843897 34 88.6
"5653" -120.027430212282 34 40.1
"5654" -119.995015353381 34 116.7
"5658" -119.865355917773 34 119.2
"5659" -119.832941058872 34 120.4
"5663" -119.703281623264 34 53.7
"5664" -119.670866764362 34 58.6
"5665" -119.638451905461 34 66.7
"5666" -119.606037046559 34 106
"5667" -119.573622187657 34 125.4
"5701" -118.471516984995 34 111.7
"5791" -119.995015353381 34 116.7
"5792" -119.962600494479 34 116.2
"5795" -119.865355917773 34 117.2
"5796" -119.832941058872 34 71.7
"5797" -119.80052619997 34 81.4
"5798" -119.768111341068 34 82.9
"5799" -119.735696482166 34 53
"5800" -119.703281623264 34 86.5
"5838" -118.471516984995 34 130.7
"5839" -118.439102126093 34 124.1
"5926" -120.059845071184 33.9 116
"5927" -120.027430212282 33.9 106
"5928" -119.995015353381 33.9 127.3
"5929" -119.962600494479 33.9 129.5
"5976" -118.439102126093 33.9 111.1
"6062" -120.092259930086 33.9 125
"6063" -120.059845071184 33.9 110.7
"6113" -118.439102126093 33.9 115.5
"6114" -118.406687267192 33.9 113.2
"6251" -118.406687267192 33.9 113.8
"6388" -118.406687267192 33.9 109.2
"6525" -118.406687267192 33.8 112.2
"6526" -118.37427240829 33.8 112.2
"6662" -118.406687267192 33.8 102.4
"6798" -118.439102126093 33.8 101.9
"6799" -118.406687267192 33.8 106.2
"6936" -118.406687267192 33.7 87.6
"6937" -118.37427240829 33.7 99.8
"6938" -118.341857549388 33.7 105.8
"6945" -118.114953537075 33.7 96.6
"6946" -118.082538678173 33.7 106.5
"7075" -118.341857549388 33.7 95.2
"7076" -118.309442690486 33.7 86.2
"7077" -118.277027831584 33.7 111.4
"7083" -118.082538678173 33.7 148.8
"7084" -118.050123819272 33.7 143.3
"7221" -118.050123819272 33.7 126.8
"7222" -118.01770896037 33.7 170.8
"7359" -118.01770896037 33.7 173.1
"7497" -117.985294101468 33.6 165.3
"7498" -117.952879242566 33.6 193.8
"7635" -117.952879242566 33.6 218.2
"7636" -117.920464383664 33.6 192.4
"7637" -117.888049524763 33.6 210.1
"7775" -117.855634665861 33.6 212.3
"7776" -117.823219806959 33.6 96.3
"7913" -117.823219806959 33.6 216
"7914" -117.790804948057 33.6 198.5
"8051" -117.790804948057 33.5 229.8
"8052" -117.758390089155 33.5 120.6
"8189" -117.758390089155 33.5 80
"8190" -117.725975230253 33.5 226
"8287" -119.022569586326 33.5 133.2
"8300" -118.601176420603 33.5 87.1
"8301" -118.568761561701 33.5 81.4
"8327" -117.725975230253 33.5 80.4
"8328" -117.693560371352 33.5 198.2
"8438" -118.568761561701 33.4 117.2
"8439" -118.536346702799 33.4 69.8
"8440" -118.503931843897 33.4 62.5
"8464" -117.725975230253 33.4 279.9
"8466" -117.66114551245 33.4 303
"8576" -118.536346702799 33.4 139.3
"8577" -118.503931843897 33.4 70.8
"8578" -118.471516984995 33.4 83.8
"8579" -118.439102126093 33.4 41.9
"8580" -118.406687267192 33.4 85.4
"8581" -118.37427240829 33.4 94.1
"8604" -117.628730653548 33.4 91.9
"8605" -117.596315794646 33.4 90.5
"8715" -118.471516984995 33.4 63.5
"8718" -118.37427240829 33.4 102.6
"8719" -118.341857549388 33.4 179.1
"8742" -117.596315794646 33.4 60
"8852" -118.471516984995 33.4 46.6
"8856" -118.341857549388 33.4 59.7
"8989" -118.471516984995 33.3 57.8
"8993" -118.341857549388 33.3 65.1
"8994" -118.309442690486 33.3 74.1
"9019" -117.499071217941 33.3 47.1
"9126" -118.471516984995 33.3 57.8
"9127" -118.439102126093 33.3 55.7
"9128" -118.406687267192 33.3 57.3
"9130" -118.341857549388 33.3 156.3
"9131" -118.309442690486 33.3 130.8
"9156" -117.499071217941 33.3 76.3
"9157" -117.466656359039 33.3 80.4
"9294" -117.466656359039 33.3 68.8
"9295" -117.434241500137 33.3 50.9
"9432" -117.434241500137 33.3 48.9
"9569" -117.434241500137 33.2 46.6
"9570" -117.401826641235 33.2 47.5
"9707" -117.401826641235 33.2 51
"9708" -117.369411782333 33.2 51
"9845" -117.369411782333 33.2 50.1
"9982" -117.369411782333 33.1 47.6
"9983" -117.336996923432 33.1 50.2
"10120" -117.336996923432 33.1 50.1
