"x" "y" "layer"
"7" -120.770092067753 35.2 89.3
"8" -120.737525141551 35.2 91.3
"9" -120.70495821535 35.2 94
"10" -120.672391289148 35.2 94.1
"125" -120.672391289148 35.1 80.6
"126" -120.639824362947 35.1 45
"241" -120.639824362947 35.1 80.4
"356" -120.639824362947 35.1 102.8
"471" -120.639824362947 35.1 105.8
"586" -120.639824362947 35 108
"701" -120.639824362947 35 108
"816" -120.639824362947 35 108
"1161" -120.639824362947 34.9 104.4
"1276" -120.639824362947 34.9 108.7
"1277" -120.607257436745 34.9 103.7
"1392" -120.607257436745 34.8 49.3
"1507" -120.607257436745 34.8 43.6
"1621" -120.639824362947 34.8 215.8
"1622" -120.607257436745 34.8 68
"1736" -120.639824362947 34.8 125.8
"1851" -120.639824362947 34.7 99.5
"1852" -120.607257436745 34.7 73.2
"1967" -120.607257436745 34.7 92.7
"1968" -120.574690510544 34.7 216.7
"2082" -120.607257436745 34.7 103.5
"2083" -120.574690510544 34.7 212.3
"2197" -120.607257436745 34.7 142.5
"2311" -120.639824362947 34.6 68.2
"2312" -120.607257436745 34.6 69.9
"2426" -120.639824362947 34.6 48.8
"2541" -120.639824362947 34.6 67.4
"2656" -120.639824362947 34.5 112.5
"2657" -120.607257436745 34.5 103.8
"2658" -120.574690510544 34.5 104.5
"2659" -120.542123584342 34.5 81.5
"2774" -120.542123584342 34.5 75.3
"2775" -120.509556658141 34.5 76.8
"2890" -120.509556658141 34.5 82.9
"2891" -120.476989731939 34.5 82.3
"3006" -120.476989731939 34.5 70.6
"3007" -120.444422805738 34.5 118.4
"3008" -120.411855879536 34.5 107.3
"3009" -120.379288953335 34.5 51
"3010" -120.346722027133 34.5 94
"3011" -120.314155100932 34.5 124.5
"3012" -120.28158817473 34.5 76.6
"3013" -120.249021248529 34.5 128.2
"3014" -120.216454322327 34.5 172.7
"3015" -120.183887396126 34.5 146.3
"3016" -120.151320469924 34.5 93.4
"3017" -120.118753543723 34.5 85.9
"3018" -120.086186617521 34.5 100.5
"3019" -120.05361969132 34.5 142.5
"3020" -120.021052765118 34.5 222.2
"3021" -119.988485838917 34.5 213.8
"3121" -120.476989731939 34.4 85.2
"3122" -120.444422805738 34.4 60.8
"3123" -120.411855879536 34.4 70.3
"3124" -120.379288953335 34.4 140.9
"3136" -119.988485838917 34.4 187.6
"3137" -119.955918912715 34.4 76.3
"3138" -119.923351986514 34.4 70.1
"3139" -119.890785060313 34.4 354.7
"3253" -119.923351986514 34.4 175.3
"3254" -119.890785060313 34.4 79.1
"3255" -119.858218134111 34.4 273.7
"3256" -119.82565120791 34.4 79.6
"3257" -119.793084281708 34.4 73.4
"3258" -119.760517355507 34.4 68.8
"3259" -119.727950429305 34.4 76.8
"3261" -119.662816576902 34.4 79.9
"3262" -119.630249650701 34.4 78.1
"3263" -119.597682724499 34.4 46.2
"3264" -119.565115798298 34.4 77.7
"3265" -119.532548872096 34.4 100.4
"3374" -119.727950429305 34.4 71.9
"3375" -119.695383503104 34.4 79.6
"3380" -119.532548872096 34.4 84
"3381" -119.499981945895 34.4 214.1
"3382" -119.467415019693 34.4 75.3
"3497" -119.467415019693 34.4 93
"3498" -119.434848093492 34.4 81.6
"3499" -119.40228116729 34.4 204.5
