"x" "y" "layer"
"4" -121.927573111533 36.6 70.1
"285" -121.960472420117 36.6 71.6
"426" -121.960472420117 36.6 70.4
"427" -121.927573111533 36.6 71.3
"567" -121.960472420117 36.5 70.2
"708" -121.960472420117 36.5 67
"709" -121.927573111533 36.5 68.7
"850" -121.927573111533 36.5 68.7
"1132" -121.927573111533 36.4 68.6
"1697" -121.894673802948 36.3 71.3
"1839" -121.861774494364 36.3 64.9
"1980" -121.861774494364 36.3 69
"1981" -121.828875185779 36.3 68.6
"2122" -121.828875185779 36.2 68.6
"2123" -121.795975877195 36.2 65.6
"2124" -121.763076568611 36.2 58.7
"2265" -121.763076568611 36.2 57.5
"2266" -121.730177260026 36.2 55
"2407" -121.730177260026 36.2 70.1
"2408" -121.697277951442 36.2 66
"2549" -121.697277951442 36.2 70.4
"2550" -121.664378642858 36.2 67.9
"2691" -121.664378642858 36.1 70.4
"2833" -121.631479334273 36.1 70.1
"2974" -121.631479334273 36.1 70.4
"2975" -121.598580025689 36.1 67.6
"3116" -121.598580025689 36 70.2
"3258" -121.565680717104 36 72.8
"3259" -121.53278140852 36 58.6
"3260" -121.499882099936 36 71.8
"3401" -121.499882099936 36 69.5
"3542" -121.499882099936 36 70.2
"3543" -121.466982791351 36 70.9
"3684" -121.466982791351 35.9 71.1
"3825" -121.466982791351 35.9 66.6
"3966" -121.466982791351 35.9 70.4
"3967" -121.434083482767 35.9 69.6
"4108" -121.434083482767 35.9 69.6
"4109" -121.401184174182 35.9 70
"4250" -121.401184174182 35.8 68
"4251" -121.368284865598 35.8 61.1
"4392" -121.368284865598 35.8 64.6
"4393" -121.335385557014 35.8 69.3
"4534" -121.335385557014 35.8 70.2
"4817" -121.302486248429 35.7 69.5
"4958" -121.302486248429 35.7 70.1
"5100" -121.269586939845 35.7 67.2
"5101" -121.23668763126 35.7 68
"5102" -121.203788322676 35.7 70.1
"5242" -121.23668763126 35.6 70.1
"5243" -121.203788322676 35.6 76.3
"5244" -121.170889014092 35.6 68.7
"5386" -121.137989705507 35.6 78.2
"5528" -121.105090396923 35.6 69
"5669" -121.105090396923 35.6 75.9
"5811" -121.072191088338 35.5 75.5
"5952" -121.072191088338 35.5 79.6
"5953" -121.039291779754 35.5 66.8
"6094" -121.039291779754 35.5 68.6
"6095" -121.00639247117 35.5 67.4
"6236" -121.00639247117 35.4 69
"6237" -120.973493162585 35.4 68
"6238" -120.940593854001 35.4 68.8
"7368" -120.874795236832 35.2 67.7
"7509" -120.874795236832 35.2 67.7
"7510" -120.841895928248 35.2 63.6
"7511" -120.808996619663 35.2 74.6
"7652" -120.808996619663 35.2 67.4
"7653" -120.776097311079 35.2 66.1
"7654" -120.743198002495 35.2 68.4
"7656" -120.677399385326 35.2 66.4
"7797" -120.677399385326 35.2 68.2
"7798" -120.644500076741 35.2 67.4
"7939" -120.644500076741 35.1 65.8
"7940" -120.611600768157 35.1 67.5
"8080" -120.644500076741 35.1 66.5
"8081" -120.611600768157 35.1 66.7
"8221" -120.644500076741 35.1 66.2
"8362" -120.644500076741 35 61.3
"8363" -120.611600768157 35 52.5
"8503" -120.644500076741 35 66
"8504" -120.611600768157 35 44.1
"8644" -120.644500076741 35 61.2
"8785" -120.644500076741 35 58
"8925" -120.677399385326 34.9 68.3
"8926" -120.644500076741 34.9 44.6
"9066" -120.677399385326 34.9 68.6
"9067" -120.644500076741 34.9 64
"9208" -120.644500076741 34.9 65.4
"9209" -120.611600768157 34.9 47.9
"9350" -120.611600768157 34.9 45.9
"9491" -120.611600768157 34.8 62.3
"9632" -120.611600768157 34.8 148.1
"9772" -120.644500076741 34.8 58.6
"9913" -120.644500076741 34.7 109.9
"9914" -120.611600768157 34.7 71
"10055" -120.611600768157 34.7 54.6
"10196" -120.611600768157 34.7 91.5
"10197" -120.578701459573 34.7 210.1
"10337" -120.611600768157 34.7 143.7
"10478" -120.611600768157 34.6 148.2
"10618" -120.644500076741 34.6 324
"10759" -120.644500076741 34.6 113
"10900" -120.644500076741 34.6 87.8
"10901" -120.611600768157 34.6 59.1
"10902" -120.578701459573 34.6 51
"10903" -120.545802150988 34.6 72.9
"11044" -120.545802150988 34.5 84.3
"11045" -120.512902842404 34.5 56.6
"11046" -120.480003533819 34.5 44.4
"11186" -120.512902842404 34.5 54.9
"11187" -120.480003533819 34.5 58.3
"11328" -120.480003533819 34.5 56.2
"11332" -120.348406299482 34.5 68.8
"11333" -120.315506990898 34.5 96.9
"11334" -120.282607682313 34.5 76.3
"11335" -120.249708373729 34.5 84.4
"11336" -120.216809065144 34.5 108.5
"11337" -120.18390975656 34.5 126.9
"11338" -120.151010447976 34.5 98.4
"11339" -120.118111139391 34.5 76.8
"11340" -120.085211830807 34.5 122.1
"11341" -120.052312522222 34.5 122.3
"11342" -120.019413213638 34.5 137.4
"11343" -119.986513905054 34.5 51.8
"11469" -120.480003533819 34.4 88.1
"11470" -120.447104225235 34.4 55.6
"11471" -120.414204916651 34.4 84.5
"11472" -120.381305608066 34.4 63
"11473" -120.348406299482 34.4 120.3
"11474" -120.315506990898 34.4 162.7
"11481" -120.085211830807 34.4 90.4
"11482" -120.052312522222 34.4 139.7
"11483" -120.019413213638 34.4 74.3
"11484" -119.986513905054 34.4 107.5
"11485" -119.953614596469 34.4 146.1
"11486" -119.920715287885 34.4 168.5
"11626" -119.953614596469 34.4 170.4
"11627" -119.920715287885 34.4 153
"11628" -119.8878159793 34.4 169.7
"11629" -119.854916670716 34.4 332.6
"11630" -119.822017362132 34.4 403.9
"11631" -119.789118053547 34.4 158.9
"11632" -119.756218744963 34.4 158.4
