"x" "y" "layer"
"6" -121.268645091776 35.7 378.8
"147" -121.236072242131 35.6 378.8
"149" -121.170926542842 35.6 221.1
"290" -121.138353693198 35.6 305.8
"430" -121.138353693198 35.6 323.6
"431" -121.105780843553 35.6 366.3
"571" -121.105780843553 35.6 314.5
"711" -121.105780843553 35.5 268.8
"712" -121.073207993909 35.5 354.6
"852" -121.073207993909 35.5 378.8
"853" -121.040635144265 35.5 378.8
"993" -121.040635144265 35.5 366.3
"994" -121.00806229462 35.5 139
"1134" -121.00806229462 35.5 56.7
"1135" -120.975489444976 35.5 88.1
"1136" -120.942916595331 35.5 131
"1137" -120.910343745687 35.5 199.3
"1138" -120.877770896042 35.5 372.2
"1277" -120.910343745687 35.4 73.3
"1278" -120.877770896042 35.4 161.4
"1418" -120.877770896042 35.4 153.3
"1419" -120.845198046398 35.4 71.6
"1558" -120.877770896042 35.4 104.8
"1559" -120.845198046398 35.4 68.6
"1698" -120.877770896042 35.3 132.1
"1699" -120.845198046398 35.3 70.2
"1838" -120.877770896042 35.3 147
"1978" -120.877770896042 35.3 153.2
"2117" -120.910343745687 35.3 110.4
"2118" -120.877770896042 35.3 71.3
"2257" -120.910343745687 35.2 139.1
"2258" -120.877770896042 35.2 69.4
"2398" -120.877770896042 35.2 367.8
"2399" -120.845198046398 35.2 257.5
"2400" -120.812625196754 35.2 336.3
"2540" -120.812625196754 35.2 152.6
"2541" -120.780052347109 35.2 157.3
"2542" -120.747479497465 35.2 232.8
"2543" -120.71490664782 35.2 178.1
"2544" -120.682333798176 35.2 333.5
"2681" -120.780052347109 35.2 259.3
"2682" -120.747479497465 35.2 255
"2684" -120.682333798176 35.2 168.5
"2685" -120.649760948531 35.2 225.6
"2825" -120.649760948531 35.1 135.4
"2826" -120.617188098887 35.1 256.6
"2965" -120.649760948531 35.1 253.8
"2966" -120.617188098887 35.1 191.8
"3106" -120.617188098887 35.1 254.3
"3245" -120.649760948531 35 60.7
"3246" -120.617188098887 35 240.8
"3385" -120.649760948531 35 215.7
"3386" -120.617188098887 35 154.8
"3525" -120.649760948531 35 276.3
"3665" -120.649760948531 35 171.8
"3804" -120.682333798176 34.9 174
"3805" -120.649760948531 34.9 163.3
