"x" "y" "layer"
"176" -121.094605332377 35.5 139.8
"324" -121.061941785902 35.5 138.4
"768" -120.963951146477 35.4 139.8
"1065" -120.865960507053 35.4 139.8
"1799" -120.898624053528 35.2 209.2
"1800" -120.865960507053 35.2 209.2
"1947" -120.865960507053 35.2 192.6
"2095" -120.833296960578 35.2 216.7
"2096" -120.800633414103 35.2 69.6
"2244" -120.767969867628 35.2 139.8
"2983" -120.637315681729 35 149.8
"3130" -120.637315681729 35 159
"3277" -120.637315681729 35 159
"3423" -120.669979228204 34.9 159
"3570" -120.669979228204 34.9 157.1
"3717" -120.669979228204 34.9 188.9
"3718" -120.637315681729 34.9 78.6
"3865" -120.637315681729 34.9 47.6
"3866" -120.604652135254 34.9 65.6
"4013" -120.604652135254 34.8 110.1
"4159" -120.637315681729 34.8 160.2
"4160" -120.604652135254 34.8 134
"4306" -120.637315681729 34.8 67.6
"4453" -120.637315681729 34.8 49.7
"4600" -120.637315681729 34.7 57.1
"4601" -120.604652135254 34.7 84.2
"4748" -120.604652135254 34.7 82.9
"4895" -120.604652135254 34.7 84.5
"4896" -120.571988588779 34.7 41.5
"5041" -120.637315681729 34.7 154.9
"5042" -120.604652135254 34.7 98.6
"5188" -120.637315681729 34.6 77.5
"5335" -120.637315681729 34.6 96.2
"5482" -120.637315681729 34.6 70.8
"5483" -120.604652135254 34.6 164.2
"5484" -120.571988588779 34.6 186.3
"5629" -120.637315681729 34.5 204.3
"5630" -120.604652135254 34.5 188.1
"5631" -120.571988588779 34.5 179.1
"5632" -120.539325042304 34.5 89.7
"5633" -120.506661495829 34.5 123.6
"5780" -120.506661495829 34.5 68.2
"5927" -120.506661495829 34.5 161.1
"5928" -120.473997949355 34.5 146.2
"5938" -120.147362484606 34.5 61.7
"5939" -120.114698938131 34.5 61.6
"6075" -120.473997949355 34.5 54.1
"6076" -120.44133440288 34.5 135.3
"6077" -120.408670856405 34.5 119.9
"6078" -120.37600730993 34.5 131.9
"6079" -120.343343763455 34.5 158.6
"6080" -120.31068021698 34.5 481.8
"6081" -120.278016670506 34.5 44.5
"6082" -120.245353124031 34.5 54.7
"6083" -120.212689577556 34.5 55
"6084" -120.180026031081 34.5 58.8
"6085" -120.147362484606 34.5 59.9
"6086" -120.114698938131 34.5 64
"6087" -120.082035391656 34.5 48.8
"6088" -120.049371845182 34.5 52
"6089" -120.016708298707 34.5 55
