"x" "y" "layer"
"6" -120.812992505414 35.2 91.8
"122" -120.812992505414 35.2 99.6
"123" -120.780423406935 35.2 95
"124" -120.747854308456 35.2 89.3
"125" -120.715285209978 35.2 91.8
"126" -120.682716111499 35.2 86.8
"242" -120.682716111499 35.1 80.2
"243" -120.65014701302 35.1 42.4
"359" -120.65014701302 35.1 83.5
"360" -120.617577914542 35.1 93.8
"476" -120.617577914542 35.1 102.8
"592" -120.617577914542 35.1 104.5
"707" -120.65014701302 35 108.7
"708" -120.617577914542 35 109.5
"823" -120.65014701302 35 108
"939" -120.65014701302 35 106.2
"1287" -120.65014701302 34.9 100.3
"1404" -120.617577914542 34.9 96.2
"1520" -120.617577914542 34.8 108.4
"1636" -120.617577914542 34.8 42.3
"1752" -120.617577914542 34.8 95.8
"1867" -120.65014701302 34.8 109.3
"1868" -120.617577914542 34.8 72.6
"1984" -120.617577914542 34.7 79.6
"2100" -120.617577914542 34.7 64.4
"2101" -120.585008816063 34.7 67.9
"2216" -120.617577914542 34.7 89.7
"2217" -120.585008816063 34.7 63.8
"2332" -120.617577914542 34.7 143.9
"2333" -120.585008816063 34.7 209.2
"2447" -120.65014701302 34.6 59.7
"2448" -120.617577914542 34.6 65.8
"2563" -120.65014701302 34.6 45
"2564" -120.617577914542 34.6 69.9
"2679" -120.65014701302 34.6 66.1
"2795" -120.65014701302 34.5 115.2
"2796" -120.617577914542 34.5 107.5
"2797" -120.585008816063 34.5 102.3
"2798" -120.552439717584 34.5 98.9
"2915" -120.519870619106 34.5 69.1
"2916" -120.487301520627 34.5 79
"3032" -120.487301520627 34.5 79.9
"3148" -120.487301520627 34.5 83.3
"3149" -120.454732422148 34.5 47.5
"3150" -120.42216332367 34.5 115.4
"3151" -120.389594225191 34.5 52.7
"3152" -120.357025126712 34.5 92.4
"3153" -120.324456028233 34.5 125.1
"3154" -120.291886929755 34.5 65
"3155" -120.259317831276 34.5 99.1
"3156" -120.226748732797 34.5 143.7
"3157" -120.194179634319 34.5 197.3
"3158" -120.16161053584 34.5 177.5
"3159" -120.129041437361 34.5 68.6
"3160" -120.096472338883 34.5 104.5
"3161" -120.063903240404 34.5 103.5
"3162" -120.031334141925 34.5 221
"3163" -119.998765043447 34.5 234.3
"3264" -120.487301520627 34.4 54
"3265" -120.454732422148 34.4 65.7
"3266" -120.42216332367 34.4 72.2
"3267" -120.389594225191 34.4 121.1
"3279" -119.998765043447 34.4 242.8
"3280" -119.966195944968 34.4 99.2
"3281" -119.933626846489 34.4 52.8
"3282" -119.90105774801 34.4 203.2
"3398" -119.90105774801 34.4 95.6
"3399" -119.868488649532 34.4 109.8
"3400" -119.835919551053 34.4 77.1
"3401" -119.803350452574 34.4 78.6
"3402" -119.770781354096 34.4 71.5
"3403" -119.738212255617 34.4 73.3
"3405" -119.67307405866 34.4 79.2
"3406" -119.640504960181 34.4 74.6
"3407" -119.607935861702 34.4 46.6
"3408" -119.575366763224 34.4 60.5
"3409" -119.542797664745 34.4 79.7
"3519" -119.738212255617 34.4 66.5
"3520" -119.705643157138 34.4 74.5
"3525" -119.542797664745 34.4 100.7
"3526" -119.510228566266 34.4 99.3
"3527" -119.477659467788 34.4 80.2
"3528" -119.445090369309 34.4 52.3
"3643" -119.477659467788 34.4 188.4
"3644" -119.445090369309 34.4 82.5
"3645" -119.41252127083 34.4 232.4
"3761" -119.41252127083 34.3 78.7
"3762" -119.379952172351 34.3 97.2
"3878" -119.379952172351 34.3 183.1
"3879" -119.347383073873 34.3 83.6
"3995" -119.347383073873 34.3 116.9
"3996" -119.314813975394 34.3 86.4
"3997" -119.282244876915 34.3 88.2
"4113" -119.282244876915 34.3 69.7
"4114" -119.249675778437 34.3 77.3
"4229" -119.282244876915 34.2 99.5
"4230" -119.249675778437 34.2 135.5
"4346" -119.249675778437 34.2 88.4
"4347" -119.217106679958 34.2 145.5
"4462" -119.249675778437 34.2 106.1
"4463" -119.217106679958 34.2 70
