"x" "y" "layer"
"17" -120.643308310752 35.1 55.9
"18" -120.610893196052 35.1 56.9
"153" -120.643308310752 35.1 56.9
"154" -120.610893196052 35.1 57.2
"289" -120.643308310752 35 56.5
"425" -120.643308310752 35 54.3
"561" -120.643308310752 35 50.5
"696" -120.675723425451 34.9 89
"697" -120.643308310752 34.9 83.7
"832" -120.675723425451 34.9 77.8
"833" -120.643308310752 34.9 64.7
"968" -120.675723425451 34.9 86.9
"969" -120.643308310752 34.9 82
"1105" -120.643308310752 34.9 57.5
"1106" -120.610893196052 34.9 208.8
"1242" -120.610893196052 34.8 58.3
"1378" -120.610893196052 34.8 116.1
"1513" -120.643308310752 34.8 185.5
"1514" -120.610893196052 34.8 151.4
"1649" -120.643308310752 34.8 64.8
"1650" -120.610893196052 34.8 86.5
"1785" -120.643308310752 34.7 221.8
"1786" -120.610893196052 34.7 67.3
"1922" -120.610893196052 34.7 74
"1923" -120.578478081352 34.7 43.9
"2058" -120.610893196052 34.7 91.4
"2193" -120.643308310752 34.6 378.2
"2194" -120.610893196052 34.6 75
"2329" -120.643308310752 34.6 229.2
"2330" -120.610893196052 34.6 99.6
"2465" -120.643308310752 34.6 212.5
"2601" -120.643308310752 34.6 59.5
"2602" -120.610893196052 34.6 101.6
"2603" -120.578478081352 34.6 105.5
"2739" -120.578478081352 34.5 108.8
"2740" -120.546062966652 34.5 93.5
"2741" -120.513647851953 34.5 95.7
"2877" -120.513647851953 34.5 89.6
"2878" -120.481232737253 34.5 53
"3013" -120.513647851953 34.5 111.4
"3014" -120.481232737253 34.5 93.9
"3020" -120.286742049055 34.5 167.3
"3021" -120.254326934355 34.5 155.8
"3022" -120.221911819655 34.5 127.8
"3023" -120.189496704956 34.5 158.1
"3024" -120.157081590256 34.5 287
"3025" -120.124666475556 34.5 194.8
"3026" -120.092251360856 34.5 357.6
"3150" -120.481232737253 34.5 66.7
"3151" -120.448817622553 34.5 81.4
"3152" -120.416402507854 34.5 66.7
"3153" -120.383987393154 34.5 115.8
"3154" -120.351572278454 34.5 71.3
"3155" -120.319157163754 34.5 123.1
"3156" -120.286742049055 34.5 72.1
"3157" -120.254326934355 34.5 73.6
"3158" -120.221911819655 34.5 207.8
"3159" -120.189496704956 34.5 262
"3160" -120.157081590256 34.5 342.6
"3161" -120.124666475556 34.5 150.4
"3162" -120.092251360856 34.5 73.5
"3163" -120.059836246157 34.5 71.5
"3164" -120.027421131457 34.5 60.8
"3165" -119.995006016757 34.5 53.6
"3166" -119.962590902057 34.5 73.4
"3287" -120.448817622553 34.4 65.4
"3302" -119.962590902057 34.4 72.3
"3303" -119.930175787358 34.4 74.2
"3304" -119.897760672658 34.4 73.1
"3305" -119.865345557958 34.4 44.6
"3313" -119.606024640361 34.4 41.5
"3314" -119.573609525661 34.4 63.4
"3440" -119.897760672658 34.4 75.2
"3441" -119.865345557958 34.4 46.7
"3442" -119.832930443259 34.4 40.6
"3444" -119.768100213859 34.4 44.6
"3445" -119.735685099159 34.4 44.7
"3448" -119.63843975506 34.4 41.5
"3450" -119.573609525661 34.4 62.3
"3451" -119.541194410961 34.4 47.9
"3452" -119.508779296261 34.4 91.4
"3588" -119.508779296261 34.4 50
"3589" -119.476364181562 34.4 71.2
"3590" -119.443949066862 34.4 73
"3726" -119.443949066862 34.3 73.1
"3727" -119.411533952162 34.3 85.5
"3863" -119.411533952162 34.3 77
"3864" -119.379118837463 34.3 114.4
"3865" -119.346703722763 34.3 219.2
"4001" -119.346703722763 34.3 43.2
"4002" -119.314288608063 34.3 52.5
"4138" -119.314288608063 34.3 40.5
"4139" -119.281873493363 34.3 57.3
"4275" -119.281873493363 34.2 145.1
"4276" -119.249458378664 34.2 52.2
"4412" -119.249458378664 34.2 145.5
"4548" -119.249458378664 34.2 51.9
"4549" -119.217043263964 34.2 52.8
"4684" -119.249458378664 34.2 53.2
"4685" -119.217043263964 34.2 156.5
"4821" -119.217043263964 34.1 177.9
"4822" -119.184628149264 34.1 161.1
"4823" -119.152213034564 34.1 53.6
"4959" -119.152213034564 34.1 162.7
"4961" -119.087382805165 34.1 163.8
"5071" -119.930175787358 34.1 95.3
"5097" -119.087382805165 34.1 40.6
"5098" -119.054967690465 34.1 54.5
"5099" -119.022552575766 34.1 55
"5207" -119.930175787358 34.1 76.8
"5208" -119.897760672658 34.1 96.7
"5344" -119.897760672658 34 113
"5345" -119.865345557958 34 113
"5358" -119.443949066862 34 284.8
"5360" -119.379118837463 34 253.1
"5361" -119.346703722763 34 41.5
"5387" -118.50391074057 34 94.9
"5476" -120.027421131457 34 40.1
"5480" -119.897760672658 34 113
"5487" -119.67085486976 34 55.2
"5488" -119.63843975506 34 78
"5489" -119.606024640361 34 123.6
"5490" -119.573609525661 34 128.5
"5494" -119.443949066862 34 240.2
"5495" -119.411533952162 34 147.4
"5496" -119.379118837463 34 258.7
"5523" -118.50391074057 34 119.1
"5524" -118.47149562587 34 119
"5612" -120.027421131457 34 40.1
"5613" -119.995006016757 34 108.8
"5614" -119.962590902057 34 121.9
"5617" -119.865345557958 34 113.3
"5618" -119.832930443259 34 79.6
"5619" -119.800515328559 34 65.5
"5620" -119.768100213859 34 67.4
"5621" -119.735685099159 34 86.5
"5622" -119.70326998446 34 91.7
"5623" -119.67085486976 34 64.7
"5660" -118.47149562587 34 122.1
"5661" -118.439080511171 34 115.8
"5748" -120.027421131457 33.9 121.9
"5749" -119.995006016757 33.9 123.9
"5750" -119.962590902057 33.9 115.9
"5754" -119.832930443259 33.9 127.4
"5797" -118.439080511171 33.9 121.8
"5882" -120.092251360856 33.9 128.4
"5883" -120.059836246157 33.9 109.7
"5884" -120.027421131457 33.9 116.1
"5933" -118.439080511171 33.9 112.8
"6070" -118.406665396471 33.9 111.2
"6206" -118.406665396471 33.9 111.5
"6342" -118.406665396471 33.8 109.8
"6343" -118.374250281771 33.8 112.2
"6478" -118.406665396471 33.8 109.8
"6613" -118.439080511171 33.8 103.3
"6614" -118.406665396471 33.8 104.5
"6749" -118.439080511171 33.8 112.2
"6750" -118.406665396471 33.8 93.5
"6751" -118.374250281771 33.8 131
"6759" -118.114929364173 33.8 111.4
"6886" -118.406665396471 33.7 119.2
"6887" -118.374250281771 33.7 107.9
"6888" -118.341835167071 33.7 81.1
"6889" -118.309420052372 33.7 94.3
"6895" -118.114929364173 33.7 105.2
"6896" -118.082514249474 33.7 173.1
"7025" -118.309420052372 33.7 108.4
"7026" -118.277004937672 33.7 111.4
"7032" -118.082514249474 33.7 167.2
"7033" -118.050099134774 33.7 112.9
"7169" -118.050099134774 33.7 173.2
"7170" -118.017684020074 33.7 160
"7307" -117.985268905375 33.6 165.3
"7444" -117.952853790675 33.6 182
"7445" -117.920438675975 33.6 214.3
"7581" -117.920438675975 33.6 209.2
"7582" -117.888023561275 33.6 210.1
"7583" -117.855608446576 33.6 217.8
"7719" -117.855608446576 33.6 96.9
"7720" -117.823193331876 33.6 221.2
"7856" -117.823193331876 33.5 235
"7857" -117.790778217176 33.5 186
"7858" -117.758363102476 33.5 216
"7994" -117.758363102476 33.5 60.8
"8104" -118.601156084669 33.5 116.7
"8131" -117.725947987777 33.5 134.4
"8227" -119.022552575766 33.5 133.2
"8240" -118.601156084669 33.5 66.5
"8241" -118.568740969969 33.5 149
"8267" -117.725947987777 33.5 118.1
"8268" -117.693532873077 33.5 198.2
"8269" -117.661117758377 33.5 303
"8377" -118.568740969969 33.4 72
"8378" -118.53632585527 33.4 62.3
"8379" -118.50391074057 33.4 88.4
"8380" -118.47149562587 33.4 130.2
"8381" -118.439080511171 33.4 42.6
"8382" -118.406665396471 33.4 49.6
"8383" -118.374250281771 33.4 65
"8515" -118.50391074057 33.4 124.6
"8516" -118.47149562587 33.4 89.9
"8518" -118.406665396471 33.4 106.1
"8519" -118.374250281771 33.4 64.3
"8542" -117.628702643678 33.4 91.9
"8543" -117.596287528978 33.4 63.2
"8652" -118.47149562587 33.4 67.6
"8655" -118.374250281771 33.4 141.2
"8656" -118.341835167071 33.4 86.1
"8679" -117.596287528978 33.4 79.2
"8787" -118.50391074057 33.3 81.4
"8788" -118.47149562587 33.3 78.3
"8792" -118.341835167071 33.3 55.9
"8793" -118.309420052372 33.3 78.2
"8817" -117.531457299578 33.3 49.3
"8818" -117.499042184879 33.3 50.9
"8924" -118.47149562587 33.3 76.1
"8925" -118.439080511171 33.3 56.6
"8926" -118.406665396471 33.3 57.6
"8928" -118.341835167071 33.3 194
"8929" -118.309420052372 33.3 96.4
"8954" -117.499042184879 33.3 70.6
"8955" -117.466627070179 33.3 49.4
"9064" -118.341835167071 33.3 161.3
