"x" "y" "layer"
"10" -120.664967169693 35 46.6
"131" -120.664967169693 34.9 49.5
"252" -120.664967169693 34.9 48.5
"253" -120.632658764172 34.9 50.2
"374" -120.632658764172 34.9 44
"375" -120.60035035865 34.9 51.7
"496" -120.60035035865 34.8 51.4
"616" -120.632658764172 34.8 132.5
"617" -120.60035035865 34.8 140.9
"737" -120.632658764172 34.8 98.2
"738" -120.60035035865 34.8 173.5
"858" -120.632658764172 34.8 125.2
"979" -120.632658764172 34.7 72.2
"980" -120.60035035865 34.7 93.7
"1101" -120.60035035865 34.7 109.5
"1222" -120.60035035865 34.7 74.3
"1342" -120.632658764172 34.7 58.6
"1343" -120.60035035865 34.7 101.7
"1463" -120.632658764172 34.6 61.4
"1464" -120.60035035865 34.6 49
"1584" -120.632658764172 34.6 49.6
"1704" -120.664967169693 34.6 58.6
"1705" -120.632658764172 34.6 49.5
"1826" -120.632658764172 34.6 53.8
"1828" -120.568041953129 34.6 60.1
"1829" -120.535733547608 34.6 47.9
"1950" -120.535733547608 34.5 43.2
"1951" -120.503425142087 34.5 51.4
"2072" -120.503425142087 34.5 56.4
"2073" -120.471116736566 34.5 57.6
"2194" -120.471116736566 34.5 57.3
"2196" -120.406499925523 34.5 62.9
"2197" -120.374191520002 34.5 58.5
"2198" -120.341883114481 34.5 47.1
"2199" -120.30957470896 34.5 51.7
"2200" -120.277266303438 34.5 72.8
"2201" -120.244957897917 34.5 201.5
"2202" -120.212649492396 34.5 141.4
"2203" -120.180341086875 34.5 83.7
"2204" -120.148032681354 34.5 110.6
"2205" -120.115724275832 34.5 87.3
"2206" -120.083415870311 34.5 90
"2207" -120.05110746479 34.5 199.6
"2208" -120.018799059269 34.5 65.3
"2209" -119.986490653748 34.5 81.7
"2315" -120.471116736566 34.4 57.4
"2316" -120.438808331044 34.4 61.4
"2317" -120.406499925523 34.4 61.1
"2318" -120.374191520002 34.4 59.8
"2330" -119.986490653748 34.4 83
"2331" -119.954182248227 34.4 81.9
"2332" -119.921873842705 34.4 113.4
"2333" -119.889565437184 34.4 118
"2453" -119.921873842705 34.4 267.5
"2454" -119.889565437184 34.4 55.8
"2455" -119.857257031663 34.4 104.5
"2457" -119.792640220621 34.4 130.2
"2458" -119.760331815099 34.4 58.1
"2459" -119.728023409578 34.4 108.1
"2463" -119.598789787493 34.4 103.8
"2464" -119.566481381972 34.4 71.9
"2465" -119.534172976451 34.4 97.3
"2579" -119.760331815099 34.4 156
"2580" -119.728023409578 34.4 105.9
"2581" -119.695715004057 34.4 166.1
"2586" -119.534172976451 34.4 67.7
"2587" -119.50186457093 34.4 125.2
"2588" -119.469556165409 34.4 87.3
"2709" -119.469556165409 34.4 88.5
"2710" -119.437247759887 34.4 71.9
"2711" -119.404939354366 34.4 206.2
"2831" -119.437247759887 34.3 225.9
"2832" -119.404939354366 34.3 72.4
"2833" -119.372630948845 34.3 227.5
"2953" -119.404939354366 34.3 143.8
"2954" -119.372630948845 34.3 167.3
"2955" -119.340322543324 34.3 168.5
"3076" -119.340322543324 34.3 83.4
"3077" -119.308014137803 34.3 114.5
"3078" -119.275705732282 34.3 180.9
"3199" -119.275705732282 34.3 84.7
"3200" -119.24339732676 34.3 175
"3320" -119.275705732282 34.2 78.3
"3321" -119.24339732676 34.2 171.4
"3441" -119.275705732282 34.2 68.3
"3442" -119.24339732676 34.2 113.5
"3563" -119.24339732676 34.2 65.7
"3564" -119.211088921239 34.2 42.9
"3684" -119.24339732676 34.1 75.1
"3685" -119.211088921239 34.1 73.7
"3686" -119.178780515718 34.1 73.3
"3807" -119.178780515718 34.1 75.4
"3808" -119.146472110197 34.1 76.7
"3929" -119.146472110197 34.1 81.2
"3930" -119.114163704676 34.1 78.2
"3931" -119.081855299154 34.1 71.3
"3932" -119.049546893633 34.1 74.1
"3933" -119.017238488112 34.1 77.2
"4026" -119.921873842705 34.1 127.5
"4027" -119.889565437184 34.1 59.9
"4054" -119.017238488112 34.1 82.2
"4143" -120.05110746479 34 62.9
"4148" -119.889565437184 34 65.1
"4159" -119.534172976451 34 62.5
"4177" -118.95262167707 34 96.3
"4178" -118.920313271548 34 104.5
"4179" -118.888004866027 34 164.7
"4180" -118.855696460506 34 58.1
"4181" -118.823388054985 34 111.3
"4264" -120.05110746479 34 62.7
"4279" -119.566481381972 34 185.9
"4283" -119.437247759887 34 212.9
"4284" -119.404939354366 34 171.8
"4285" -119.372630948845 34 134.5
"4302" -118.823388054985 34 60.3
"4303" -118.791079649464 34 165.9
"4387" -119.986490653748 34 60.2
"4390" -119.889565437184 34 69.8
"4391" -119.857257031663 34 98.2
"4392" -119.824948626142 34 51.7
"4396" -119.695715004057 34 69.9
"4397" -119.663406598536 34 283.3
"4398" -119.631098193015 34 219.7
"4399" -119.598789787493 34 236
"4400" -119.566481381972 34 203
"4508" -119.986490653748 34 60.3
"4512" -119.857257031663 34 66.3
"4513" -119.824948626142 34 231.3
"4514" -119.792640220621 34 127.8
"4515" -119.760331815099 34 71.9
"4516" -119.728023409578 34 54.8
"4517" -119.695715004057 34 287.5
"4627" -120.05110746479 33.9 158
"4628" -120.018799059269 33.9 48.3
"4629" -119.986490653748 33.9 57.2
"4745" -120.148032681354 33.9 53.8
"4746" -120.115724275832 33.9 178.7
"4747" -120.083415870311 33.9 102.1
"4748" -120.05110746479 33.9 197.5
"4798" -118.435687188731 33.9 102.7
"4799" -118.403378783209 33.9 113.9
"4920" -118.403378783209 33.9 134.2
"5041" -118.403378783209 33.8 104.7
"5042" -118.371070377688 33.8 112.2
"5162" -118.403378783209 33.8 126.1
"5163" -118.371070377688 33.8 127.2
"5404" -118.403378783209 33.8 51.8
"5410" -118.209528350082 33.8 62.7
"5412" -118.14491153904 33.8 50.7
"5525" -118.403378783209 33.7 51.8
"5530" -118.241836755603 33.7 62.7
"5531" -118.209528350082 33.7 61.5
"5532" -118.177219944561 33.7 62.6
"5533" -118.14491153904 33.7 54.7
"5534" -118.112603133519 33.7 60.5
"5535" -118.080294727997 33.7 61.4
"5648" -118.338761972167 33.7 51
"5649" -118.306453566646 33.7 51
"5656" -118.080294727997 33.7 61.2
"5778" -118.047986322476 33.7 59.5
"5779" -118.015677916955 33.7 52.9
"5900" -118.015677916955 33.7 59.5
"5901" -117.983369511434 33.7 60.4
"6022" -117.983369511434 33.6 60.8
"6023" -117.951061105913 33.6 58.8
"6144" -117.951061105913 33.6 49.6
"6145" -117.918752700392 33.6 61.6
"6146" -117.88644429487 33.6 60.5
"6268" -117.854135889349 33.6 59.2
"6269" -117.821827483828 33.6 52
"6390" -117.821827483828 33.6 59.2
"6391" -117.789519078307 33.6 62.7
"6635" -117.724902267264 33.5 61
"6729" -118.597229216337 33.5 122.1
"6730" -118.564920810815 33.5 96.7
"6756" -117.724902267264 33.5 63.3
"6757" -117.692593861743 33.5 62
"6850" -118.597229216337 33.4 96
"6851" -118.564920810815 33.4 126.4
"6852" -118.532612405294 33.4 149.2
"6853" -118.500303999773 33.4 124
"6973" -118.532612405294 33.4 139.7
"6974" -118.500303999773 33.4 73.3
"6975" -118.467995594252 33.4 60.2
"6976" -118.435687188731 33.4 136.3
"6977" -118.403378783209 33.4 88
"6978" -118.371070377688 33.4 95.7
"7001" -117.627977050701 33.4 59.6
"7095" -118.500303999773 33.4 83.8
"7096" -118.467995594252 33.4 85
"7099" -118.371070377688 33.4 296.1
"7123" -117.59566864518 33.4 59.6
"7216" -118.500303999773 33.4 215.8
"7217" -118.467995594252 33.4 86.2
"7221" -118.338761972167 33.4 106.8
"7246" -117.531051834137 33.4 60.2
"7342" -118.338761972167 33.3 57.4
"7343" -118.306453566646 33.3 58.7
"7368" -117.498743428616 33.3 60.2
"7464" -118.306453566646 33.3 95.6
"7489" -117.498743428616 33.3 59.6
"7490" -117.466435023095 33.3 79.6
"7611" -117.466435023095 33.3 59.5
"7612" -117.434126617574 33.3 139.5
"7733" -117.434126617574 33.3 95.7
"7854" -117.434126617574 33.2 121
"7855" -117.401818212052 33.2 110.2
"7976" -117.401818212052 33.2 127.9
"7977" -117.369509806531 33.2 136.5
"8098" -117.369509806531 33.2 91.7
"8099" -117.33720140101 33.2 48.8
"8219" -117.369509806531 33.1 139
"8220" -117.33720140101 33.1 67.3
"8341" -117.33720140101 33.1 95.9
"8342" -117.304892995489 33.1 117
"8462" -117.33720140101 33.1 88.7
"8463" -117.304892995489 33.1 74.6
"8584" -117.304892995489 33.1 116.1
"8705" -117.304892995489 33 120.8
"8826" -117.304892995489 33 94.3
"8827" -117.272584589968 33 122.7
"8948" -117.272584589968 33 103
"9069" -117.272584589968 33 109.3
"9190" -117.272584589968 32.9 113.3
"9191" -117.240276184447 32.9 93.5
"9311" -117.272584589968 32.9 93.2
"9312" -117.240276184447 32.9 86.7
"9433" -117.240276184447 32.9 85
"9553" -117.272584589968 32.8 95.8
"9554" -117.240276184447 32.8 115.4
"9674" -117.272584589968 32.8 88.5
"9795" -117.272584589968 32.8 43
"9796" -117.240276184447 32.8 91.2
"9917" -117.240276184447 32.8 109.7
"10037" -117.272584589968 32.7 89.8
"10038" -117.240276184447 32.7 109.9
"10158" -117.272584589968 32.7 75.7
"10159" -117.240276184447 32.7 103.1
"10280" -117.240276184447 32.7 106.4
"10401" -117.240276184447 32.7 44
