"x" "y" "layer"
"64" -117.444927680326 33.3 45.8
"93" -117.412894471534 33.2 45.2
"121" -117.412894471534 33.2 45.7
"122" -117.380861262742 33.2 45.2
"150" -117.380861262742 33.2 45.2
"151" -117.34882805395 33.2 44.6
"179" -117.34882805395 33.1 45.2
"207" -117.34882805395 33.1 42.5
"208" -117.316794845158 33.1 45.7
"293" -117.284761636366 33 46.9
"321" -117.284761636366 33 48.8
"349" -117.284761636366 33 49.4
"377" -117.284761636366 33 49.6
"378" -117.252728427574 33 48.3
"406" -117.252728427574 32.9 67.5
"434" -117.252728427574 32.9 59
"462" -117.252728427574 32.9 89.8
"489" -117.284761636366 32.8 43.2
"490" -117.252728427574 32.8 65.4
"602" -117.252728427574 32.7 281.1
"603" -117.220695218782 32.7 87
"630" -117.252728427574 32.7 144.6
"631" -117.220695218782 32.7 80.8
"632" -117.18866200999 32.7 81
"633" -117.156628801198 32.7 81.4
"658" -117.252728427574 32.7 214.6
"659" -117.220695218782 32.7 82.3
"660" -117.18866200999 32.7 97.2
"661" -117.156628801198 32.7 96.3
"686" -117.252728427574 32.7 53.1
"689" -117.156628801198 32.7 174.4
"717" -117.156628801198 32.6 80
"718" -117.124595592406 32.6 201.8
"719" -117.092562383614 32.6 40.5
"746" -117.124595592406 32.6 79.7
"747" -117.092562383614 32.6 65.3
"774" -117.124595592406 32.6 114.4
"802" -117.124595592406 32.6 62
"830" -117.124595592406 32.5 68.4
"858" -117.124595592406 32.5 60.9
"886" -117.124595592406 32.5 131.2
"914" -117.124595592406 32.4 128.8
"915" -117.092562383614 32.4 119.5
"938" -117.252728427574 32.4 49.2
"943" -117.092562383614 32.4 60.8
"966" -117.252728427574 32.4 49.7
"971" -117.092562383614 32.4 219.1
"972" -117.060529174822 32.4 41.9
"999" -117.092562383614 32.4 59.7
"1000" -117.060529174822 32.4 102.2
"1028" -117.060529174822 32.3 103.8
"1056" -117.060529174822 32.3 84
"1057" -117.02849596603 32.3 116.2
"1085" -117.02849596603 32.3 121.7
"1114" -116.996462757239 32.3 46.2
"1116" -116.932396339655 32.3 144.3
"1144" -116.932396339655 32.2 91.4
"1145" -116.900363130863 32.2 45.8
"1172" -116.932396339655 32.2 45.8
"1173" -116.900363130863 32.2 133.8
"1201" -116.900363130863 32.2 120.5
"1229" -116.900363130863 32.1 115.8
"1257" -116.900363130863 32.1 45.7
"1258" -116.868329922071 32.1 45.8
"1285" -116.900363130863 32.1 139.8
"1313" -116.900363130863 32.1 137.8
"1314" -116.868329922071 32.1 138.4
"1341" -116.900363130863 32 134.1
"1342" -116.868329922071 32 45.8
"1370" -116.868329922071 32 45.7
"1398" -116.868329922071 32 116.3
"1399" -116.836296713279 32 45.6
"1568" -116.804263504487 31.8 151.7
"1596" -116.804263504487 31.8 45.2
