"x" "y" "layer"
"19" -117.387373892727 33.2 59.7
"70" -117.355479058108 33.2 46.9
"120" -117.355479058108 33.1 56.3
"121" -117.323584223489 33.1 59.5
"221" -117.323584223489 33.1 59.7
"272" -117.291689388869 33.1 59.5
"322" -117.291689388869 33 59.1
"372" -117.291689388869 33 59.5
"373" -117.25979455425 33 59.6
"423" -117.25979455425 33 59
"473" -117.25979455425 32.9 56.9
"523" -117.25979455425 32.9 55.3
"573" -117.25979455425 32.9 45.3
"623" -117.25979455425 32.9 72.5
"672" -117.291689388869 32.8 56.5
"673" -117.25979455425 32.8 76.7
"723" -117.25979455425 32.8 59.5
"773" -117.25979455425 32.8 58.5
"823" -117.25979455425 32.8 58.4
"824" -117.227899719631 32.8 59.2
"873" -117.25979455425 32.7 58.9
"874" -117.227899719631 32.7 59.6
"875" -117.196004885012 32.7 57.7
"876" -117.164110050393 32.7 48.1
"923" -117.25979455425 32.7 86.1
"924" -117.227899719631 32.7 53.9
"926" -117.164110050393 32.7 54.6
"973" -117.25979455425 32.7 88.5
"974" -117.227899719631 32.7 76.5
"975" -117.196004885012 32.7 59.7
"976" -117.164110050393 32.7 129
"977" -117.132215215774 32.7 146.7
"1026" -117.164110050393 32.6 79.5
"1027" -117.132215215774 32.6 80.4
"1028" -117.100320381155 32.6 144.9
"1077" -117.132215215774 32.6 78.9
"1078" -117.100320381155 32.6 132.6
"1127" -117.132215215774 32.6 78.2
"1128" -117.100320381155 32.6 155.5
"1177" -117.132215215774 32.6 67.7
"1227" -117.132215215774 32.5 88.1
"1277" -117.132215215774 32.5 86.2
"1327" -117.132215215774 32.5 75.1
"1328" -117.100320381155 32.5 90.5
"1377" -117.132215215774 32.5 310
"1378" -117.100320381155 32.5 143
"1423" -117.25979455425 32.4 85.1
"1428" -117.100320381155 32.4 239.4
"1473" -117.25979455425 32.4 85.4
"1474" -117.227899719631 32.4 85.7
"1478" -117.100320381155 32.4 161.6
"1529" -117.068425546536 32.4 241.5
"1579" -117.068425546536 32.4 220.2
"1629" -117.068425546536 32.3 380.9
"1630" -117.036530711917 32.3 255.4
"1680" -117.036530711917 32.3 222.6
"1730" -117.036530711917 32.3 89.6
"1884" -116.908951373441 32.2 481.8
"1934" -116.908951373441 32.2 461.3
"1985" -116.877056538822 32.1 481.8
"2085" -116.877056538822 32.1 481.8
"2135" -116.877056538822 32.1 243.6
"2185" -116.877056538822 32 400.4
"2587" -116.813266869583 31.8 81.7
"2689" -116.749477200345 31.8 323.9
"2690" -116.717582365726 31.8 235.2
"2740" -116.717582365726 31.7 282.5
"3245" -116.558108192631 31.5 66.2
"3296" -116.526213358012 31.4 66.4
"3346" -116.526213358012 31.4 67.7
"3347" -116.494318523393 31.4 66.4
"3397" -116.494318523393 31.4 67.3
"3447" -116.494318523393 31.4 67.7
"3448" -116.462423688774 31.4 65.3
