"x" "y" "layer"
"11" -117.95293330606 33.6 83
"12" -117.920763700845 33.6 85.7
"50" -117.95293330606 33.6 85.7
"51" -117.920763700845 33.6 53.3
"52" -117.88859409563 33.6 80.7
"92" -117.856424490415 33.6 65.3
"93" -117.8242548852 33.6 81.5
"132" -117.8242548852 33.5 84.1
"133" -117.792085279986 33.5 81.8
"173" -117.759915674771 33.5 84.5
"213" -117.727746069556 33.5 87.4
"252" -117.727746069556 33.5 86.1
"253" -117.695576464341 33.5 80.7
"254" -117.663406859126 33.5 84.9
"293" -117.663406859126 33.4 86.5
"334" -117.599067648696 33.4 83.3
"374" -117.566898043481 33.4 87.4
"414" -117.534728438267 33.4 84.9
"454" -117.502558833052 33.3 87.4
"494" -117.470389227837 33.3 83.3
"533" -117.470389227837 33.3 85.7
"534" -117.438219622622 33.3 83.3
"573" -117.438219622622 33.3 84.9
"574" -117.406050017407 33.3 87
"612" -117.438219622622 33.2 87.4
"613" -117.406050017407 33.2 71.1
"652" -117.406050017407 33.2 74.4
"653" -117.373880412192 33.2 55.4
"692" -117.373880412192 33.2 82.9
"693" -117.341710806977 33.2 87
"732" -117.341710806977 33.1 83.7
"771" -117.341710806977 33.1 87.4
"772" -117.309541201762 33.1 86.1
"811" -117.309541201762 33.1 83.3
"889" -117.309541201762 33 112.2
"890" -117.277371596548 33 102.4
"929" -117.277371596548 33 105.8
"968" -117.277371596548 33 102.5
"1007" -117.277371596548 33 84.7
"1008" -117.245201991333 33 78.3
"1046" -117.277371596548 32.9 78.4
"1047" -117.245201991333 32.9 104.7
"1086" -117.245201991333 32.9 75.5
"1125" -117.245201991333 32.9 63.3
"1163" -117.277371596548 32.8 104.5
"1164" -117.245201991333 32.8 62.8
"1202" -117.277371596548 32.8 87.8
"1203" -117.245201991333 32.8 89.1
"1242" -117.245201991333 32.8 88.2
"1281" -117.245201991333 32.8 85.5
"1320" -117.245201991333 32.7 88.6
"1359" -117.245201991333 32.7 79
"1360" -117.213032386118 32.7 305.5
"1398" -117.245201991333 32.7 54.1
"1399" -117.213032386118 32.7 131.4
"1400" -117.180862780903 32.7 191.3
"1401" -117.148693175688 32.7 81.9
"1402" -117.116523570473 32.7 68.6
"1437" -117.245201991333 32.7 107.7
"1439" -117.180862780903 32.7 66.8
"1440" -117.148693175688 32.7 64
"1441" -117.116523570473 32.7 79.7
"1479" -117.148693175688 32.6 69.5
"1518" -117.148693175688 32.6 129.1
"1519" -117.116523570473 32.6 98.1
"1520" -117.084353965258 32.6 74.8
"1557" -117.148693175688 32.6 107.4
"1558" -117.116523570473 32.6 89.6
"1596" -117.148693175688 32.5 66.4
"1597" -117.116523570473 32.5 87.8
"1636" -117.116523570473 32.5 148
"1675" -117.116523570473 32.5 101
"1714" -117.116523570473 32.5 181.9
"1747" -117.309541201762 32.4 154.2
"1753" -117.116523570473 32.4 60.6
"1754" -117.084353965258 32.4 59.1
"1787" -117.277371596548 32.4 176.1
"1788" -117.245201991333 32.4 54.5
"1793" -117.084353965258 32.4 60.1
"1827" -117.245201991333 32.4 137.9
"1832" -117.084353965258 32.4 61
"1871" -117.084353965258 32.4 60.2
"1872" -117.052184360043 32.4 61.2
"1911" -117.052184360043 32.3 54
"1950" -117.052184360043 32.3 56.6
"1989" -117.052184360043 32.3 58.8
