"x" "y" "layer"
"260" -117.57833434523 33.4 70.4
"261" -117.546244266442 33.4 71.4
"319" -117.546244266442 33.3 72.3
"320" -117.514154187655 33.3 70.4
"379" -117.482064108867 33.3 71.6
"437" -117.482064108867 33.3 71.3
"555" -117.417883951292 33.2 120.3
"556" -117.385793872504 33.2 137
"613" -117.417883951292 33.2 133
"614" -117.385793872504 33.2 108.1
"672" -117.385793872504 33.2 116.3
"673" -117.353703793716 33.2 87
"731" -117.353703793716 33.2 61.2
"732" -117.321613714929 33.2 137
"789" -117.353703793716 33.1 136.2
"790" -117.321613714929 33.1 115.2
"848" -117.321613714929 33.1 121.4
"906" -117.321613714929 33.1 134.3
"965" -117.289523636141 33 134.2
"1023" -117.289523636141 33 62.6
"1081" -117.289523636141 33 89.8
"1082" -117.257433557354 33 74.8
"1139" -117.289523636141 33 68.6
"1140" -117.257433557354 33 57.8
"1198" -117.257433557354 32.9 119.9
"1256" -117.257433557354 32.9 53.4
"1314" -117.257433557354 32.9 84.2
"1315" -117.225343478566 32.9 44.1
"1371" -117.289523636141 32.9 165.5
"1372" -117.257433557354 32.9 76.7
"1429" -117.289523636141 32.8 144.1
"1430" -117.257433557354 32.8 131.8
"1487" -117.289523636141 32.8 73.3
"1488" -117.257433557354 32.8 58.8
"1546" -117.257433557354 32.8 146.9
"1604" -117.257433557354 32.7 134.2
"1662" -117.257433557354 32.7 147.8
"1663" -117.225343478566 32.7 68.2
"1664" -117.193253399778 32.7 73.1
"1665" -117.161163320991 32.7 48.5
"1720" -117.257433557354 32.7 227.4
"1721" -117.225343478566 32.7 99.5
"1722" -117.193253399778 32.7 117.6
"1723" -117.161163320991 32.7 98.8
"1724" -117.129073242203 32.7 97.8
"1778" -117.257433557354 32.7 187.7
"1779" -117.225343478566 32.7 108.4
"1780" -117.193253399778 32.7 55.8
"1781" -117.161163320991 32.7 81.3
"1782" -117.129073242203 32.7 82.3
"1839" -117.161163320991 32.6 80
"1840" -117.129073242203 32.6 173.1
"1841" -117.096983163415 32.6 376.4
"1898" -117.129073242203 32.6 116.2
"1899" -117.096983163415 32.6 178.4
"1956" -117.129073242203 32.6 94.1
"2014" -117.129073242203 32.6 118
"2072" -117.129073242203 32.5 106.6
"2130" -117.129073242203 32.5 114.3
"2188" -117.129073242203 32.5 107.6
"2189" -117.096983163415 32.5 138.4
"2246" -117.129073242203 32.5 128.1
"2247" -117.096983163415 32.5 90.6
"2300" -117.257433557354 32.4 151.7
"2305" -117.096983163415 32.4 114.6
"2363" -117.096983163415 32.4 127.6
"2364" -117.064893084628 32.4 128.1
"2422" -117.064893084628 32.4 107.3
"2480" -117.064893084628 32.3 136
"2538" -117.064893084628 32.3 127.5
"2539" -117.03280300584 32.3 129.5
"2597" -117.03280300584 32.3 142.1
"2891" -116.904442690689 32.2 145.5
"2949" -116.904442690689 32.1 144
"2950" -116.872352611902 32.1 141
"3008" -116.872352611902 32.1 139.5
"3066" -116.872352611902 32.1 142.5
"3124" -116.872352611902 32 134
"3182" -116.872352611902 32 144
"3418" -116.743992296751 31.9 135.6
"3478" -116.679812139176 31.9 126.9
"3536" -116.679812139176 31.9 129.3
"3537" -116.647722060388 31.9 130.5
"3538" -116.615631981601 31.9 123.5
"3596" -116.615631981601 31.8 74.6
"3654" -116.615631981601 31.8 64.8
"3712" -116.615631981601 31.8 103.3
