"x" "y" "layer"
"438" -117.328155153496 33.1 87.2
"506" -117.328155153496 33.1 73.5
"507" -117.296261042714 33.1 87.3
"574" -117.328155153496 33.1 96
"575" -117.296261042714 33.1 66
"643" -117.296261042714 33 46.7
"711" -117.296261042714 33 55.5
"712" -117.264366931932 33 86.2
"780" -117.264366931932 33 87.5
"848" -117.264366931932 33 82.5
"916" -117.264366931932 32.9 84.7
"984" -117.264366931932 32.9 71.4
"985" -117.232472821151 32.9 92.8
"1052" -117.264366931932 32.9 103.7
"1053" -117.232472821151 32.9 310.1
"1119" -117.296261042714 32.9 74.4
"1120" -117.264366931932 32.9 77
"1121" -117.232472821151 32.9 131.1
"1187" -117.296261042714 32.8 50.9
"1188" -117.264366931932 32.8 75.6
"1324" -117.264366931932 32.8 69.6
"1463" -117.168684599587 32.7 53.9
"1599" -117.168684599587 32.7 127.7
"1600" -117.136790488805 32.7 50.1
"1601" -117.104896378023 32.7 85.3
"1667" -117.168684599587 32.6 77.5
"1668" -117.136790488805 32.6 198.5
"1669" -117.104896378023 32.6 151.8
"1736" -117.136790488805 32.6 79.7
"1737" -117.104896378023 32.6 99.5
"1738" -117.073002267242 32.6 55.1
"1804" -117.136790488805 32.6 107.7
"1805" -117.104896378023 32.6 77.2
"1872" -117.136790488805 32.6 85.6
"1940" -117.136790488805 32.5 58.4
"1941" -117.104896378023 32.5 184.5
"2008" -117.136790488805 32.5 62.6
"2009" -117.104896378023 32.5 192.4
"2076" -117.136790488805 32.5 291.6
"2077" -117.104896378023 32.5 266.3
"2145" -117.104896378023 32.5 314.7
"2213" -117.104896378023 32.4 229.8
"2282" -117.073002267242 32.4 40.1
"2418" -117.073002267242 32.3 42.5
"2419" -117.04110815646 32.3 42.5
"2487" -117.04110815646 32.3 138.4
"2555" -117.04110815646 32.3 138.4
"2623" -117.04110815646 32.3 73.3
"2625" -116.977319934896 32.3 40.1
"2763" -116.913531713333 32.2 51.8
"2831" -116.913531713333 32.2 40.1
"2899" -116.913531713333 32.2 54.7
"2900" -116.881637602551 32.2 104.6
"2968" -116.881637602551 32.1 52.3
"3036" -116.881637602551 32.1 200
"3104" -116.881637602551 32.1 215.5
"3172" -116.881637602551 32 211.4
"3786" -116.817849380987 31.8 204.9
"3787" -116.785955270206 31.8 191.9
"3993" -116.722167048642 31.7 64.4
"4334" -116.69027293786 31.6 174.1
"5502" -116.307543608479 31.1 124.9
"5570" -116.307543608479 31.1 130.7
"5638" -116.307543608479 31.1 119.4
"5705" -116.339437719261 31 135.6
"5706" -116.307543608479 31 137
"5773" -116.339437719261 31 138.4
"5841" -116.339437719261 31 139.8
"5909" -116.339437719261 31 137
"6049" -116.211861276134 30.9 138.4
"6117" -116.211861276134 30.9 138.4
"6118" -116.179967165352 30.9 134.3
"6186" -116.179967165352 30.9 137
"6187" -116.14807305457 30.9 139.8
"6188" -116.116178943788 30.9 137
