"x" "y" "layer"
"258" -118.609206317253 33.5 99
"387" -118.577129310867 33.4 99.6
"388" -118.545052304481 33.4 96.9
"586" -118.352590266165 33.3 101.8
"587" -118.320513259779 33.3 45.4
"651" -118.320513259779 33.3 99.1
"652" -118.288436253393 33.3 114.1
"715" -118.320513259779 33.3 110.6
"1580" -117.26197204904 32.9 455
"1644" -117.26197204904 32.9 199.4
"1708" -117.26197204904 32.9 155.8
"1772" -117.26197204904 32.9 77
"1835" -117.294049055426 32.8 177.1
"1836" -117.26197204904 32.8 80
"1899" -117.294049055426 32.8 193.1
"1900" -117.26197204904 32.8 102.7
"1964" -117.26197204904 32.8 120.5
"2028" -117.26197204904 32.8 188.3
"2092" -117.26197204904 32.7 111.6
"2094" -117.197818036268 32.7 142.1
"2095" -117.165741029882 32.7 86.6
"2156" -117.26197204904 32.7 159.1
"2157" -117.229895042654 32.7 55.1
"2158" -117.197818036268 32.7 56.2
"2220" -117.26197204904 32.7 105.3
"2221" -117.229895042654 32.7 124.6
"2223" -117.165741029882 32.7 128.6
"2287" -117.165741029882 32.6 122.3
"2288" -117.133664023496 32.6 138.9
"2352" -117.133664023496 32.6 89.3
"2416" -117.133664023496 32.6 82.7
"2480" -117.133664023496 32.6 86.7
"2544" -117.133664023496 32.5 79.1
"2608" -117.133664023496 32.5 83
"2672" -117.133664023496 32.5 103.8
"2673" -117.10158701711 32.5 49.7
"2731" -117.294049055426 32.5 146.6
"2736" -117.133664023496 32.5 103
"2737" -117.10158701711 32.5 96.6
"2795" -117.294049055426 32.4 94
"2796" -117.26197204904 32.4 187.6
"2801" -117.10158701711 32.4 82.4
"2860" -117.26197204904 32.4 123.8
"2861" -117.229895042654 32.4 233
"2865" -117.10158701711 32.4 87.2
"2930" -117.069510010724 32.4 83.8
"2994" -117.069510010724 32.3 66.7
"3058" -117.069510010724 32.3 96.8
"3059" -117.037433004338 32.3 52.6
"3123" -117.037433004338 32.3 61.8
"3187" -117.037433004338 32.3 61.4
"3188" -117.005355997952 32.3 40.4
"3189" -116.973278991566 32.3 40.1
"3253" -116.973278991566 32.2 40.1
"3254" -116.94120198518 32.2 40
"3255" -116.909124978794 32.2 40.1
"3319" -116.909124978794 32.2 40.4
"3383" -116.909124978794 32.2 61.6
"3512" -116.877047972408 32.1 84.9
"3576" -116.877047972408 32.1 82.2
"3640" -116.877047972408 32.1 58.3
"3704" -116.877047972408 32.1 56.9
"3768" -116.877047972408 32 59.7
"4282" -116.812893959636 31.8 55
"4283" -116.78081695325 31.8 55.3
"4347" -116.78081695325 31.8 54.8
"4352" -116.62043192132 31.8 91.4
"4412" -116.748739946864 31.8 79.5
"4413" -116.716662940478 31.8 71.9
"4476" -116.748739946864 31.7 54.5
"4477" -116.716662940478 31.7 80.6
"4478" -116.684585934092 31.7 84.3
"4479" -116.652508927706 31.7 81.5
"4541" -116.716662940478 31.7 55.1
"4607" -116.652508927706 31.7 55
"4671" -116.652508927706 31.6 54.2
"4735" -116.652508927706 31.6 96.6
"4799" -116.652508927706 31.6 54.9
