"x" "y" "layer"
"4" -117.259204149484 33 91.5
"27" -117.259204149484 32.9 46.8
"50" -117.259204149484 32.9 64.9
"73" -117.259204149484 32.9 131.6
"96" -117.259204149484 32.9 78.2
"119" -117.259204149484 32.8 40.2
"165" -117.259204149484 32.8 53
"166" -117.227243351046 32.8 129
"188" -117.259204149484 32.7 71.2
"189" -117.227243351046 32.7 139.8
"211" -117.259204149484 32.7 112.2
"214" -117.163321754169 32.7 156.6
"234" -117.259204149484 32.7 115.8
"237" -117.163321754169 32.7 146.2
"257" -117.259204149484 32.7 138.8
"258" -117.227243351046 32.7 65.5
"259" -117.195282552607 32.7 109.9
"260" -117.163321754169 32.7 77.2
"283" -117.163321754169 32.6 69.4
"284" -117.13136095573 32.6 92.8
"285" -117.099400157291 32.6 135.7
"307" -117.13136095573 32.6 78.8
"308" -117.099400157291 32.6 118.3
"330" -117.13136095573 32.6 68
"331" -117.099400157291 32.6 67.6
"353" -117.13136095573 32.6 77.9
"376" -117.13136095573 32.5 56.4
"399" -117.13136095573 32.5 72.3
"422" -117.13136095573 32.5 153.8
"445" -117.13136095573 32.5 68.6
"446" -117.099400157291 32.5 105.5
"469" -117.099400157291 32.4 93.6
"492" -117.099400157291 32.4 78.5
"493" -117.067439358853 32.4 54.1
"516" -117.067439358853 32.4 87.9
"539" -117.067439358853 32.3 63.6
"562" -117.067439358853 32.3 355.2
"563" -117.035478560414 32.3 113.1
"586" -117.035478560414 32.3 138.7
"609" -117.035478560414 32.3 350.7
"635" -116.939596165099 32.2 408.3
"636" -116.90763536666 32.2 367.3
"659" -116.90763536666 32.2 243.7
"682" -116.90763536666 32.2 166.8
"705" -116.90763536666 32.2 335.4
"729" -116.875674568222 32.1 239.5
"752" -116.875674568222 32.1 168.8
"775" -116.875674568222 32.1 229.4
"798" -116.875674568222 32 182.2
"821" -116.875674568222 32 92.6
"894" -116.747831374467 31.9 96.9
"1081" -116.651948979152 31.7 42.8
"1196" -116.651948979152 31.6 39.7
"1218" -116.68390977759 31.6 39.6
