"x" "y" "layer"
"136" -117.402921525884 33.2 530
"243" -117.306642355605 33.1 281.2
"269" -117.306642355605 33.1 191.5
"348" -117.274549298845 33 279.9
"374" -117.274549298845 33 69
"400" -117.274549298845 32.9 182.9
"426" -117.274549298845 32.9 74.6
"427" -117.242456242086 32.9 72.5
"453" -117.242456242086 32.9 212
"478" -117.274549298845 32.9 62.6
"479" -117.242456242086 32.9 71.2
"504" -117.274549298845 32.8 268.3
"557" -117.242456242086 32.8 263
"583" -117.242456242086 32.7 283.1
"609" -117.242456242086 32.7 296.4
"610" -117.210363185326 32.7 505.1
"635" -117.242456242086 32.7 140.4
"636" -117.210363185326 32.7 166.4
"637" -117.178270128566 32.7 54.7
"661" -117.242456242086 32.7 139.3
"663" -117.178270128566 32.7 52.7
"664" -117.146177071807 32.7 76.1
"690" -117.146177071807 32.6 97.4
"691" -117.114084015047 32.6 103.2
"692" -117.081990958287 32.6 115.8
"716" -117.146177071807 32.6 73.7
"717" -117.114084015047 32.6 196.8
"718" -117.081990958287 32.6 107.1
"742" -117.146177071807 32.6 93.2
"743" -117.114084015047 32.6 147.8
"768" -117.146177071807 32.6 85.4
"769" -117.114084015047 32.6 61.2
"795" -117.114084015047 32.5 57.6
"821" -117.114084015047 32.5 61.4
"847" -117.114084015047 32.5 130.9
"873" -117.114084015047 32.5 111.6
"899" -117.114084015047 32.4 140.7
"900" -117.081990958287 32.4 115
"926" -117.081990958287 32.4 133.7
"952" -117.081990958287 32.4 102.4
"978" -117.081990958287 32.3 111.4
"979" -117.049897901528 32.3 219.1
"1005" -117.049897901528 32.3 205.7
"1031" -117.049897901528 32.3 142.1
"1032" -117.017804844768 32.3 278.4
"1058" -117.017804844768 32.3 128.1
"1059" -116.985711788008 32.3 49.6
"1060" -116.953618731248 32.3 49.5
"1113" -116.921525674489 32.2 49.4
"1139" -116.921525674489 32.2 43.1
"1140" -116.889432617729 32.2 49.3
"1165" -116.921525674489 32.2 49.6
"1166" -116.889432617729 32.2 237.8
"1192" -116.889432617729 32.1 203.4
"1218" -116.889432617729 32.1 187.8
"1244" -116.889432617729 32.1 170.7
"1270" -116.889432617729 32 132.6
"1296" -116.889432617729 32 211.8
"1351" -116.79315344745 32 265.3
"1352" -116.76106039069 32 160
"1378" -116.76106039069 31.9 116.8
