"x" "y" "layer"
"417" -117.344107108658 33.1 78.5
"418" -117.312211149548 33.1 94.9
"482" -117.344107108658 33.1 96.3
"483" -117.312211149548 33.1 88.7
"548" -117.312211149548 33.1 86.1
"613" -117.312211149548 33.1 81.6
"614" -117.280315190438 33.1 88
"678" -117.312211149548 33 94.9
"679" -117.280315190438 33 75.1
"744" -117.280315190438 33 82.8
"809" -117.280315190438 33 85.4
"810" -117.248419231328 33 93.3
"874" -117.280315190438 32.9 87.2
"875" -117.248419231328 32.9 90.9
"940" -117.248419231328 32.9 83.7
"1005" -117.248419231328 32.9 71.6
"1070" -117.248419231328 32.9 119.6
"1134" -117.280315190438 32.8 56.3
"1135" -117.248419231328 32.8 86.7
"1199" -117.280315190438 32.8 76.2
"1265" -117.248419231328 32.8 76.2
"1330" -117.248419231328 32.8 69.9
"1397" -117.184627313108 32.7 74.4
"1398" -117.152731353998 32.7 70.5
"1463" -117.152731353998 32.7 81
"1525" -117.248419231328 32.7 46.1
"1527" -117.184627313108 32.7 72.9
"1528" -117.152731353998 32.7 82.9
"1593" -117.152731353998 32.7 202.6
"1594" -117.120835394888 32.7 85.3
"1658" -117.152731353998 32.6 103.2
"1659" -117.120835394888 32.6 167.1
"1660" -117.088939435778 32.6 109.3
"1724" -117.120835394888 32.6 93.2
"1725" -117.088939435778 32.6 55.5
"1789" -117.120835394888 32.6 86
"1854" -117.120835394888 32.5 79
"1919" -117.120835394888 32.5 68.5
"1984" -117.120835394888 32.5 70.2
"2049" -117.120835394888 32.5 268
"2114" -117.120835394888 32.4 39.6
"2115" -117.088939435778 32.4 261.3
"2180" -117.088939435778 32.4 428.4
"2245" -117.088939435778 32.4 40.1
"2311" -117.057043476668 32.4 40.1
"2376" -117.057043476668 32.3 40.1
"2441" -117.057043476668 32.3 139.1
"2442" -117.025147517558 32.3 138.4
"2507" -117.025147517558 32.3 73.3
"2574" -116.961355599338 32.2 40.1
"2640" -116.929459640228 32.2 54.9
"2641" -116.897563681118 32.2 54.6
"2705" -116.929459640228 32.2 54.7
"2706" -116.897563681118 32.2 53.6
"2771" -116.897563681118 32.2 134.7
"2836" -116.897563681118 32.1 71
"2837" -116.865667722008 32.1 131.8
"2901" -116.897563681118 32.1 100.8
"2902" -116.865667722008 32.1 113.4
"2966" -116.897563681118 32.1 223.5
"3031" -116.897563681118 32.1 205.9
"3032" -116.865667722008 32.1 241.8
"3096" -116.897563681118 32 69
"3619" -116.801875803788 31.8 173.7
"3684" -116.801875803788 31.8 230.8
"3816" -116.738083885567 31.7 64.5
"3817" -116.706187926457 31.7 65.2
"4208" -116.674291967347 31.6 174.1
"5389" -116.323436417137 31.1 124.8
"5454" -116.323436417137 31.1 134.3
"5519" -116.323436417137 31 135.7
"5584" -116.323436417137 31 134.4
"5649" -116.323436417137 31 138.4
"5848" -116.195852580697 30.9 134.3
"5914" -116.163956621587 30.9 135.6
"5915" -116.132060662477 30.9 138.4
