"x" "y" "layer"
"136" -117.402921525884 33.2 622.8
"243" -117.306642355605 33.1 281.2
"269" -117.306642355605 33.1 191.5
"348" -117.274549298845 33 279.9
"374" -117.274549298845 33 39.7
"400" -117.274549298845 32.9 230.2
"426" -117.274549298845 32.9 74.8
"427" -117.242456242086 32.9 73.5
"453" -117.242456242086 32.9 148.3
"478" -117.274549298845 32.9 77
"479" -117.242456242086 32.9 77.9
"504" -117.274549298845 32.8 271.7
"557" -117.242456242086 32.8 315.3
"583" -117.242456242086 32.7 268.8
"609" -117.242456242086 32.7 411.5
"610" -117.210363185326 32.7 530
"635" -117.242456242086 32.7 113.1
"636" -117.210363185326 32.7 117
"637" -117.178270128566 32.7 218.8
"661" -117.242456242086 32.7 150.2
"663" -117.178270128566 32.7 131.3
"664" -117.146177071807 32.7 77.4
"690" -117.146177071807 32.6 73.5
"691" -117.114084015047 32.6 120.7
"716" -117.146177071807 32.6 75
"717" -117.114084015047 32.6 183.6
"718" -117.081990958287 32.6 121.3
"742" -117.146177071807 32.6 91.5
"743" -117.114084015047 32.6 122.6
"768" -117.146177071807 32.6 77.2
"769" -117.114084015047 32.6 70.4
"795" -117.114084015047 32.5 59.4
"821" -117.114084015047 32.5 67.2
"847" -117.114084015047 32.5 92.2
"873" -117.114084015047 32.5 117.1
"899" -117.114084015047 32.4 144.6
"900" -117.081990958287 32.4 125.2
"926" -117.081990958287 32.4 136.3
"952" -117.081990958287 32.4 109.9
"953" -117.049897901528 32.4 115.8
"979" -117.049897901528 32.3 229.5
"1005" -117.049897901528 32.3 212.8
"1031" -117.049897901528 32.3 166.8
"1032" -117.017804844768 32.3 302.1
"1058" -117.017804844768 32.3 49.5
"1059" -116.985711788008 32.3 49.6
"1060" -116.953618731248 32.3 49.5
"1113" -116.921525674489 32.2 49.4
"1139" -116.921525674489 32.2 43.1
"1140" -116.889432617729 32.2 49.3
"1165" -116.921525674489 32.2 49.6
"1166" -116.889432617729 32.2 237.8
"1192" -116.889432617729 32.1 203.4
"1218" -116.889432617729 32.1 187.8
"1244" -116.889432617729 32.1 170.7
"1270" -116.889432617729 32 132.6
"1296" -116.889432617729 32 211.8
"1351" -116.79315344745 32 265.3
"1352" -116.76106039069 32 160
"1378" -116.76106039069 31.9 116.8
