"x" "y" "layer"
"17" -117.38965443614 33.2 59.6
"112" -117.357744747719 33.2 44.6
"254" -117.325835059297 33.1 59.5
"255" -117.293925370876 33.1 59.5
"302" -117.293925370876 33 58.7
"349" -117.293925370876 33 58.9
"350" -117.262015682455 33 59.7
"396" -117.293925370876 33 59.7
"397" -117.262015682455 33 59.1
"444" -117.262015682455 33 59.1
"491" -117.262015682455 32.9 53.9
"538" -117.262015682455 32.9 55.7
"585" -117.262015682455 32.9 92.2
"586" -117.230105994033 32.9 59.6
"631" -117.293925370876 32.9 56.7
"632" -117.262015682455 32.9 79.3
"678" -117.293925370876 32.8 59.5
"679" -117.262015682455 32.8 86.6
"773" -117.262015682455 32.8 59.4
"774" -117.230105994033 32.8 59.7
"820" -117.262015682455 32.7 59.3
"868" -117.230105994033 32.7 60.3
"869" -117.198196305612 32.7 55.9
"870" -117.16628661719 32.7 48.2
"914" -117.262015682455 32.7 88.1
"915" -117.230105994033 32.7 74.9
"917" -117.16628661719 32.7 56.6
"962" -117.230105994033 32.7 76.2
"964" -117.16628661719 32.7 86.6
"965" -117.134376928769 32.7 137.2
"966" -117.102467240348 32.7 165.9
"1011" -117.16628661719 32.6 115.4
"1012" -117.134376928769 32.6 58.9
"1013" -117.102467240348 32.6 145.8
"1059" -117.134376928769 32.6 140.7
"1060" -117.102467240348 32.6 137.1
"1106" -117.134376928769 32.6 68.9
"1153" -117.134376928769 32.6 68.7
"1200" -117.134376928769 32.5 88.6
"1247" -117.134376928769 32.5 106.3
"1248" -117.102467240348 32.5 89.1
"1294" -117.134376928769 32.5 163.7
"1295" -117.102467240348 32.5 130.2
"1336" -117.293925370876 32.4 57.6
"1342" -117.102467240348 32.4 142.6
"1384" -117.262015682455 32.4 85.3
"1385" -117.230105994033 32.4 57.8
"1389" -117.102467240348 32.4 217.5
"1432" -117.230105994033 32.4 85.3
"1436" -117.102467240348 32.4 189.7
"1437" -117.070557551926 32.4 149.5
"1484" -117.070557551926 32.4 209.8
"1531" -117.070557551926 32.3 311.7
"1532" -117.038647863505 32.3 425.7
"1579" -117.038647863505 32.3 248.8
"1626" -117.038647863505 32.3 276.7
"1818" -116.911009109819 32.2 505.3
"1913" -116.879099421398 32.1 481.8
"2007" -116.879099421398 32.1 406.3
"2054" -116.879099421398 32 235.2
"2479" -116.815280044555 31.8 81.7
"2575" -116.751460667712 31.7 366.4
"2576" -116.719550979291 31.7 178.6
