"x" "y" "layer"
"17" -117.388334567255 33.2 59.6
"112" -117.356424417438 33.2 44.6
"254" -117.324514267621 33.1 59.3
"255" -117.292604117804 33.1 59.6
"302" -117.292604117804 33 58.7
"349" -117.292604117804 33 58.7
"396" -117.292604117804 33 59.7
"397" -117.260693967987 33 59.1
"444" -117.260693967987 33 59.2
"491" -117.260693967987 32.9 55.5
"538" -117.260693967987 32.9 56.7
"585" -117.260693967987 32.9 86.2
"631" -117.292604117804 32.9 56.7
"632" -117.260693967987 32.9 67.2
"678" -117.292604117804 32.8 59.5
"679" -117.260693967987 32.8 60.3
"773" -117.260693967987 32.8 59.3
"820" -117.260693967987 32.7 59.3
"868" -117.228783818171 32.7 60.2
"869" -117.196873668354 32.7 55.1
"870" -117.164963518537 32.7 48.8
"914" -117.260693967987 32.7 88.1
"915" -117.228783818171 32.7 54.2
"961" -117.260693967987 32.7 93
"962" -117.228783818171 32.7 74.5
"964" -117.164963518537 32.7 95.9
"965" -117.13305336872 32.7 141.2
"1011" -117.164963518537 32.6 81.4
"1012" -117.13305336872 32.6 70
"1013" -117.101143218903 32.6 149.1
"1059" -117.13305336872 32.6 60.1
"1060" -117.101143218903 32.6 134.3
"1106" -117.13305336872 32.6 65.5
"1153" -117.13305336872 32.6 59.1
"1200" -117.13305336872 32.5 90.2
"1247" -117.13305336872 32.5 100.2
"1248" -117.101143218903 32.5 90.5
"1294" -117.13305336872 32.5 127.8
"1295" -117.101143218903 32.5 143.7
"1336" -117.292604117804 32.5 57.6
"1341" -117.13305336872 32.5 94.7
"1342" -117.101143218903 32.5 145.7
"1384" -117.260693967987 32.4 85.1
"1389" -117.101143218903 32.4 213.4
"1431" -117.260693967987 32.4 85.7
"1432" -117.228783818171 32.4 85.7
"1436" -117.101143218903 32.4 186.6
"1437" -117.069233069086 32.4 150.2
"1484" -117.069233069086 32.4 209.8
"1531" -117.069233069086 32.3 303
"1532" -117.037322919269 32.3 125
"1579" -117.037322919269 32.3 240
"1626" -117.037322919269 32.3 272.4
"1818" -116.909682320001 32.2 530
"1865" -116.909682320001 32.2 481.8
"1913" -116.877772170185 32.1 481.8
"2007" -116.877772170185 32.1 422.1
"2054" -116.877772170185 32 230.2
"2479" -116.813951870551 31.8 81.7
"2575" -116.750131570917 31.7 333.6
"2576" -116.7182214211 31.7 187.6
