"x" "y" "layer"
"267" -118.32018807654 33.4 128.4
"330" -118.352255362654 33.3 91.4
"331" -118.32018807654 33.3 49.4
"395" -118.32018807654 33.3 114.9
"396" -118.288120790426 33.3 115.8
"1195" -117.294034920888 33 39.7
"1196" -117.261967634774 33 39.6
"1260" -117.261967634774 33 39.7
"1324" -117.261967634774 32.9 354.6
"1388" -117.261967634774 32.9 167.4
"1452" -117.261967634774 32.9 150.4
"1516" -117.261967634774 32.9 63
"1579" -117.294034920888 32.8 176.7
"1580" -117.261967634774 32.8 86.4
"1644" -117.261967634774 32.8 113.9
"1708" -117.261967634774 32.8 147.5
"1772" -117.261967634774 32.8 188.2
"1836" -117.261967634774 32.7 115.1
"1837" -117.22990034866 32.7 179.2
"1838" -117.197833062546 32.7 132.6
"1839" -117.165765776432 32.7 102.6
"1900" -117.261967634774 32.7 103.4
"1901" -117.22990034866 32.7 46.1
"1902" -117.197833062546 32.7 65.2
"1964" -117.261967634774 32.7 107
"1965" -117.22990034866 32.7 168.8
"1967" -117.165765776432 32.7 135.9
"2031" -117.165765776432 32.6 139.2
"2032" -117.133698490318 32.6 102.4
"2096" -117.133698490318 32.6 87.6
"2160" -117.133698490318 32.6 80.6
"2224" -117.133698490318 32.6 81.8
"2288" -117.133698490318 32.5 78.3
"2352" -117.133698490318 32.5 90.4
"2416" -117.133698490318 32.5 107.3
"2417" -117.101631204203 32.5 513.7
"2475" -117.294034920888 32.5 174.6
"2480" -117.133698490318 32.5 108.8
"2481" -117.101631204203 32.5 206.9
"2539" -117.294034920888 32.4 158.8
"2540" -117.261967634774 32.4 177
"2541" -117.22990034866 32.4 120.7
"2545" -117.101631204203 32.4 133.5
"2604" -117.261967634774 32.4 116.2
"2605" -117.22990034866 32.4 236.8
"2609" -117.101631204203 32.4 89.2
"2610" -117.069563918089 32.4 115.8
"2674" -117.069563918089 32.4 78.1
"2738" -117.069563918089 32.3 73
"2802" -117.069563918089 32.3 98.9
"2803" -117.037496631975 32.3 50
"2867" -117.037496631975 32.3 67.6
"2931" -117.037496631975 32.3 61.5
"2932" -117.005429345861 32.3 40.4
"2933" -116.973362059747 32.3 40.1
"2997" -116.973362059747 32.2 40.1
"2998" -116.941294773633 32.2 40
"2999" -116.909227487519 32.2 40.1
"3063" -116.909227487519 32.2 40.4
"3127" -116.909227487519 32.2 61.6
"3320" -116.877160201405 32.1 59.6
"3384" -116.877160201405 32.1 58.3
"3448" -116.877160201405 32.1 56.9
"3512" -116.877160201405 32 59.7
"4096" -116.620621912492 31.8 91.4
"4415" -116.652689198606 31.6 97.5
