"x" "y" "layer"
"234" -117.601715882409 33.4 71.6
"235" -117.569625803621 33.4 70.4
"236" -117.537535724834 33.4 71.8
"289" -117.537535724834 33.3 71.8
"290" -117.505445646046 33.3 73
"343" -117.505445646046 33.3 72.8
"344" -117.473355567258 33.3 73
"397" -117.473355567258 33.3 72.3
"398" -117.441265488471 33.3 73
"451" -117.441265488471 33.3 72.3
"504" -117.441265488471 33.2 73
"505" -117.409175409683 33.2 117
"558" -117.409175409683 33.2 109.8
"559" -117.377085330896 33.2 131.8
"612" -117.377085330896 33.2 111.4
"613" -117.344995252108 33.2 131.8
"666" -117.344995252108 33.2 111.9
"719" -117.344995252108 33.1 118.7
"720" -117.31290517332 33.1 128.1
"773" -117.31290517332 33.1 121.4
"826" -117.31290517332 33.1 125.1
"879" -117.31290517332 33 125.4
"880" -117.280815094533 33 70.9
"933" -117.280815094533 33 56.9
"986" -117.280815094533 33 99.8
"1039" -117.280815094533 33 65.3
"1092" -117.280815094533 32.9 67.5
"1093" -117.248725015745 32.9 136.3
"1146" -117.248725015745 32.9 53.5
"1199" -117.248725015745 32.9 69
"1251" -117.280815094533 32.9 84.1
"1252" -117.248725015745 32.9 73.2
"1304" -117.280815094533 32.8 144.2
"1357" -117.280815094533 32.8 73.1
"1358" -117.248725015745 32.8 56.8
"1411" -117.248725015745 32.8 162.9
"1464" -117.248725015745 32.7 141.2
"1517" -117.248725015745 32.7 110.2
"1518" -117.216634936957 32.7 115.7
"1519" -117.18454485817 32.7 74.7
"1570" -117.248725015745 32.7 93
"1571" -117.216634936957 32.7 88.7
"1572" -117.18454485817 32.7 149.8
"1573" -117.152454779382 32.7 106.5
"1574" -117.120364700594 32.7 101
"1623" -117.248725015745 32.7 81.4
"1625" -117.18454485817 32.7 100.4
"1626" -117.152454779382 32.7 83.9
"1627" -117.120364700594 32.7 101
"1679" -117.152454779382 32.6 127
"1680" -117.120364700594 32.6 94.2
"1681" -117.088274621807 32.6 420.4
"1732" -117.152454779382 32.6 202.8
"1733" -117.120364700594 32.6 162.1
"1734" -117.088274621807 32.6 182.1
"1786" -117.120364700594 32.6 83.5
"1787" -117.088274621807 32.6 44.1
"1839" -117.120364700594 32.6 114.5
"1892" -117.120364700594 32.5 109
"1945" -117.120364700594 32.5 102.3
"1998" -117.120364700594 32.5 126.1
"2051" -117.120364700594 32.5 129.3
"2052" -117.088274621807 32.5 124.7
"2105" -117.088274621807 32.4 114.4
"2158" -117.088274621807 32.4 114.5
"2211" -117.088274621807 32.4 126.6
"2212" -117.056184543019 32.4 129
"2265" -117.056184543019 32.3 145
"2318" -117.056184543019 32.3 112.3
"2371" -117.056184543019 32.3 158.5
"2372" -117.024094464231 32.3 149.7
"2641" -116.895734149081 32.2 145.5
"2694" -116.895734149081 32.1 138.1
"2747" -116.895734149081 32.1 139.5
"2800" -116.895734149081 32.1 142.5
"2853" -116.895734149081 32 134
"2906" -116.895734149081 32 145.5
"2907" -116.863644070293 32 145.5
"3122" -116.76737383393 31.9 139.8
"3123" -116.735283755143 31.9 137
"3177" -116.703193676355 31.9 138.4
"3178" -116.671103597567 31.9 129.3
"3231" -116.671103597567 31.9 129.3
"3232" -116.63901351878 31.9 129.3
"3233" -116.606923439992 31.9 124.7
"3286" -116.606923439992 31.8 74.6
"3339" -116.606923439992 31.8 64.8
"3391" -116.63901351878 31.8 87
"3392" -116.606923439992 31.8 43.4
