"x" "y" "layer"
"4" -117.259204149484 33 92.6
"27" -117.259204149484 32.9 49.1
"50" -117.259204149484 32.9 73.8
"73" -117.259204149484 32.9 66.5
"95" -117.291164947923 32.9 74.8
"96" -117.259204149484 32.9 72
"119" -117.259204149484 32.8 40.3
"165" -117.259204149484 32.8 59
"166" -117.227243351046 32.8 125.4
"188" -117.259204149484 32.7 91.9
"189" -117.227243351046 32.7 139.8
"211" -117.259204149484 32.7 112
"234" -117.259204149484 32.7 117.8
"236" -117.195282552607 32.7 120.7
"237" -117.163321754169 32.7 158.5
"257" -117.259204149484 32.7 149.6
"258" -117.227243351046 32.7 63.2
"259" -117.195282552607 32.7 110
"260" -117.163321754169 32.7 82.7
"283" -117.163321754169 32.6 70.2
"284" -117.13136095573 32.6 92
"285" -117.099400157291 32.6 130.9
"307" -117.13136095573 32.6 73.2
"308" -117.099400157291 32.6 180.3
"330" -117.13136095573 32.6 69.9
"331" -117.099400157291 32.6 41
"353" -117.13136095573 32.6 76.9
"376" -117.13136095573 32.5 72.4
"377" -117.099400157291 32.5 204.2
"399" -117.13136095573 32.5 66.3
"422" -117.13136095573 32.5 184.9
"445" -117.13136095573 32.5 69.9
"446" -117.099400157291 32.5 106.4
"469" -117.099400157291 32.4 92.9
"492" -117.099400157291 32.4 81.1
"493" -117.067439358853 32.4 50.1
"516" -117.067439358853 32.4 89.3
"539" -117.067439358853 32.3 64.8
"562" -117.067439358853 32.3 365.1
"563" -117.035478560414 32.3 116.7
"586" -117.035478560414 32.3 156.4
"609" -117.035478560414 32.3 362.8
"610" -117.003517761976 32.3 442.5
"611" -116.971556963537 32.3 409.1
"612" -116.939596165099 32.3 442.5
"635" -116.939596165099 32.2 380.4
"636" -116.90763536666 32.2 461.3
"659" -116.90763536666 32.2 331.9
"682" -116.90763536666 32.2 174.4
"705" -116.90763536666 32.2 334.6
"706" -116.875674568222 32.2 481.8
"728" -116.90763536666 32.1 478
"729" -116.875674568222 32.1 283.9
"752" -116.875674568222 32.1 168
"775" -116.875674568222 32.1 397.5
"798" -116.875674568222 32 184
"821" -116.875674568222 32 92.6
"894" -116.747831374467 31.9 96.9
"1081" -116.651948979152 31.7 42.8
"1196" -116.651948979152 31.6 39.7
"1218" -116.68390977759 31.6 39.6
