"x" "y" "layer"
"10" -120.664468071573 35 50.2
"131" -120.664468071573 34.9 47.6
"252" -120.664468071573 34.9 48.2
"373" -120.664468071573 34.9 50.4
"374" -120.632107129407 34.9 45.9
"495" -120.632107129407 34.9 51.4
"496" -120.599746187242 34.9 51.3
"617" -120.599746187242 34.8 150.6
"737" -120.632107129407 34.8 79.6
"738" -120.599746187242 34.8 125.4
"858" -120.632107129407 34.8 89.3
"979" -120.632107129407 34.8 80.5
"1100" -120.632107129407 34.7 83.9
"1101" -120.599746187242 34.7 124.4
"1222" -120.599746187242 34.7 84.9
"1342" -120.632107129407 34.7 47.7
"1343" -120.599746187242 34.7 83.6
"1463" -120.632107129407 34.6 62.4
"1464" -120.599746187242 34.6 57.2
"1584" -120.632107129407 34.6 53.3
"1705" -120.632107129407 34.6 48.9
"1825" -120.664468071573 34.6 57.1
"1826" -120.632107129407 34.6 50.5
"1828" -120.567385245077 34.6 60.6
"1949" -120.567385245077 34.5 53.1
"1950" -120.535024302911 34.5 51.2
"1951" -120.502663360746 34.5 50.7
"2072" -120.502663360746 34.5 51.7
"2193" -120.502663360746 34.5 56.2
"2194" -120.47030241858 34.5 57.4
"2199" -120.308497707753 34.5 57.8
"2200" -120.276136765588 34.5 55.2
"2201" -120.243775823423 34.5 64.5
"2202" -120.211414881257 34.5 137.5
"2203" -120.179053939092 34.5 102.1
"2204" -120.146692996926 34.5 110.9
"2205" -120.114332054761 34.5 128.3
"2315" -120.47030241858 34.5 56.8
"2316" -120.437941476415 34.5 60.2
"2318" -120.373219592084 34.5 54
"2319" -120.340858649919 34.5 49.2
"2320" -120.308497707753 34.5 111
"2321" -120.276136765588 34.5 140.9
"2322" -120.243775823423 34.5 156.1
"2323" -120.211414881257 34.5 196.2
"2324" -120.179053939092 34.5 111
"2326" -120.114332054761 34.5 65
"2327" -120.081971112596 34.5 96.5
"2328" -120.04961017043 34.5 205.8
"2329" -120.017249228265 34.5 58.4
"2330" -119.984888286099 34.5 71.1
"2331" -119.952527343934 34.5 181.2
"2451" -119.984888286099 34.4 396.1
"2452" -119.952527343934 34.4 129.7
"2453" -119.920166401769 34.4 89.1
"2454" -119.887805459603 34.4 79.9
"2455" -119.855444517438 34.4 83.7
"2456" -119.823083575272 34.4 71.8
"2457" -119.790722633107 34.4 141.5
"2463" -119.596556980115 34.4 93.4
"2464" -119.564196037949 34.4 58.7
"2575" -119.887805459603 34.4 81.9
"2576" -119.855444517438 34.4 112.7
"2578" -119.790722633107 34.4 127.4
"2579" -119.758361690942 34.4 59.1
"2580" -119.726000748776 34.4 97.3
"2581" -119.693639806611 34.4 162.4
"2584" -119.596556980115 34.4 113.5
"2585" -119.564196037949 34.4 81.3
"2586" -119.531835095784 34.4 91.6
"2587" -119.499474153618 34.4 58
"2707" -119.531835095784 34.4 73.9
"2708" -119.499474153618 34.4 72.7
"2709" -119.467113211453 34.4 75
"2710" -119.434752269288 34.4 80.3
"2831" -119.434752269288 34.3 98.1
"2832" -119.402391327122 34.3 74.1
"2953" -119.402391327122 34.3 79.2
"2954" -119.370030384957 34.3 167.1
"2955" -119.337669442791 34.3 81.3
"3075" -119.370030384957 34.3 150
"3076" -119.337669442791 34.3 107.5
"3077" -119.305308500626 34.3 297.4
"3198" -119.305308500626 34.3 124.4
"3199" -119.272947558461 34.3 101
"3320" -119.272947558461 34.2 78.2
"3321" -119.240586616295 34.2 294.8
"3441" -119.272947558461 34.2 87.1
"3442" -119.240586616295 34.2 183.9
"3563" -119.240586616295 34.2 182.7
"3684" -119.240586616295 34.2 62.2
"3685" -119.20822567413 34.2 72.6
"3806" -119.20822567413 34.1 78.9
"3807" -119.175864731964 34.1 72
"3808" -119.143503789799 34.1 79.6
"3928" -119.175864731964 34.1 79.9
"3929" -119.143503789799 34.1 72.7
"3930" -119.111142847634 34.1 77.8
"3931" -119.078781905468 34.1 73.6
"3932" -119.046420963303 34.1 79.9
"4026" -119.920166401769 34.1 52.6
"4052" -119.078781905468 34.1 80.4
"4053" -119.046420963303 34.1 76.1
"4054" -119.014060021138 34.1 80.3
"4147" -119.920166401769 34.1 132.2
"4148" -119.887805459603 34.1 62.8
"4177" -118.949338136807 34.1 94.2
"4178" -118.916977194641 34.1 106.7
"4179" -118.884616252476 34.1 168.3
"4180" -118.852255310311 34.1 110.6
"4264" -120.04961017043 34 62.9
"4269" -119.887805459603 34 56.1
"4280" -119.531835095784 34 57
"4285" -119.370030384957 34 142.9
"4300" -118.884616252476 34 104.5
"4301" -118.852255310311 34 68
"4302" -118.819894368145 34 76.5
"4387" -119.984888286099 34 68.4
"4397" -119.661278864445 34 219.6
"4398" -119.62891792228 34 133.4
"4399" -119.596556980115 34 218.5
"4400" -119.564196037949 34 124.6
"4423" -118.819894368145 34 115.8
"4508" -119.984888286099 34 58.4
"4511" -119.887805459603 34 61.6
"4512" -119.855444517438 34 90
"4513" -119.823083575272 34 212.6
"4514" -119.790722633107 34 125.9
"4515" -119.758361690942 34 102.3
"4516" -119.726000748776 34 105.6
"4517" -119.693639806611 34 205.6
"4518" -119.661278864445 34 375.8
"4628" -120.017249228265 33.9 52.4
"4629" -119.984888286099 33.9 52.1
"4634" -119.823083575272 33.9 67.2
"4745" -120.146692996926 33.9 53.9
"4746" -120.114332054761 33.9 204.3
"4747" -120.081971112596 33.9 100.4
"4748" -120.04961017043 33.9 148.6
"4749" -120.017249228265 33.9 57.9
"4798" -118.43156306216 33.9 99
"4866" -120.146692996926 33.9 54.1
"4867" -120.114332054761 33.9 215.6
"4919" -118.43156306216 33.9 145.5
"4920" -118.399202119995 33.9 141.4
"5162" -118.399202119995 33.8 88.6
"5163" -118.36684117783 33.8 127.2
"5524" -118.43156306216 33.8 51.8
"5525" -118.399202119995 33.8 51.8
"5530" -118.237397409168 33.8 62.4
"5531" -118.205036467003 33.8 61.5
"5533" -118.140314582672 33.8 45.9
"5534" -118.107953640506 33.8 62.4
"5648" -118.334480235664 33.7 51
"5652" -118.205036467003 33.7 62.6
"5655" -118.107953640506 33.7 62.4
"5656" -118.075592698341 33.7 61.5
"5770" -118.302119293499 33.7 51
"5777" -118.075592698341 33.7 61.6
"5778" -118.043231756176 33.7 60.5
