"x" "y" "layer"
"11981" -119.394334224702 34.3 121.8
"12121" -119.394334224702 34.3 105.1
"12122" -119.361434919159 34.3 91.6
"12123" -119.328535613615 34.3 161.8
"12262" -119.361434919159 34.3 211.5
"12263" -119.328535613615 34.3 57.4
"12264" -119.295636308071 34.3 152.7
"12404" -119.295636308071 34.3 199.6
"12405" -119.262737002528 34.3 140.2
"12545" -119.262737002528 34.2 104.9
"12685" -119.262737002528 34.2 122.4
"12686" -119.229837696984 34.2 156.9
"12825" -119.262737002528 34.2 332.2
"12826" -119.229837696984 34.2 60.3
"12966" -119.229837696984 34.2 66.8
"12967" -119.19693839144 34.2 221
"13107" -119.19693839144 34.1 441
"13108" -119.164039085896 34.1 186.6
"13109" -119.131139780353 34.1 530
"13248" -119.164039085896 34.1 123.5
"13249" -119.131139780353 34.1 165.5
"13250" -119.098240474809 34.1 117.9
"13251" -119.065341169265 34.1 73.8
"13252" -119.032441863721 34.1 102.5
"13365" -119.920723113402 34.1 67.4
"13391" -119.065341169265 34.1 130.7
"13392" -119.032441863721 34.1 116
"13393" -118.999542558178 34.1 132.9
"13489" -120.447112002102 34 148.9
"13490" -120.414212696558 34 121.2
"13505" -119.920723113402 34 154.9
"13506" -119.887823807858 34 140.1
"13516" -119.558830752421 34 117.8
"13517" -119.525931446877 34 113.2
"13534" -118.966643252634 34 42.5
"13535" -118.93374394709 34 69.7
"13536" -118.900844641547 34 68
"13537" -118.867945336003 34 69.3
"13540" -118.769247419372 34 70.9
"13541" -118.736348113828 34 62.8
"13542" -118.703448808284 34 69.6
"13543" -118.670549502741 34 70.2
"13544" -118.637650197197 34 66.7
"13545" -118.604750891653 34 69.8
"13546" -118.571851586109 34 69.6
"13547" -118.538952280566 34 67.2
"13630" -120.414212696558 34 139.3
"13631" -120.381313391014 34 116.9
"13632" -120.34841408547 34 140.8
"13633" -120.315514779927 34 65.3
"13634" -120.282615474383 34 152.4
"13646" -119.887823807858 34 147.9
"13656" -119.558830752421 34 120.7
"13659" -119.46013283579 34 216.7
"13660" -119.427233530246 34 106.1
"13661" -119.394334224702 34 177.5
"13662" -119.361434919159 34 183.8
"13678" -118.835046030459 34 71.1
"13679" -118.802146724915 34 69.7
"13680" -118.769247419372 34 67
"13682" -118.703448808284 34 71.6
"13688" -118.506052975022 34 63.8
"13689" -118.473153669478 34 70.1
"13775" -120.249716168839 34 128.3
"13776" -120.216816863295 34 142.1
"13786" -119.887823807858 34 136.4
"13787" -119.854924502315 34 144.1
"13792" -119.690427974596 34 66.2
"13793" -119.657528669052 34 50.5
"13794" -119.624629363508 34 65.9
"13795" -119.591730057965 34 73.6
"13796" -119.558830752421 34 104
"13800" -119.427233530246 34 40.6
"13819" -118.802146724915 34 70.9
"13829" -118.473153669478 34 70.4
"13916" -120.216816863295 34 121.4
"13917" -120.183917557752 34 131
"13927" -119.854924502315 34 82.5
"13928" -119.822025196771 34 100.1
"13929" -119.789125891227 34 75.1
"13930" -119.756226585683 34 76.5
"13931" -119.72332728014 34 70.3
"13932" -119.690427974596 34 76.9
"13969" -118.473153669478 34 69.9
"13970" -118.440254363935 34 69.7
"14057" -120.183917557752 33.9 96.6
"14061" -120.052320335577 33.9 169.5
"14062" -120.019421030033 33.9 153.6
"14063" -119.986521724489 33.9 151.3
"14068" -119.822025196771 33.9 182.7
"14110" -118.440254363935 33.9 68
"14197" -120.183917557752 33.9 153
"14198" -120.151018252208 33.9 123.5
"14199" -120.118118946664 33.9 151.3
"14200" -120.085219641121 33.9 163.7
"14201" -120.052320335577 33.9 205.3
"14250" -118.440254363935 33.9 65.9
"14251" -118.407355058391 33.9 62
"14339" -120.118118946664 33.9 324.9
"14531" -118.407355058391 33.9 68.8
"14950" -118.440254363935 33.8 70.5
"14951" -118.407355058391 33.8 66.8
"14958" -118.177059919585 33.8 126.1
"14959" -118.144160614041 33.8 127.2
"15091" -118.407355058391 33.7 68.8
"15092" -118.374455752847 33.7 68.8
"15093" -118.341556447303 33.7 66.9
"15095" -118.275757836216 33.7 108.3
"15096" -118.242858530672 33.7 82.6
"15097" -118.209959225128 33.7 89.1
"15098" -118.177059919585 33.7 101.5
"15099" -118.144160614041 33.7 120.8
"15100" -118.111261308497 33.7 108.1
"15101" -118.078362002954 33.7 124.6
"15233" -118.341556447303 33.7 102.1
"15234" -118.30865714176 33.7 90.6
"15235" -118.275757836216 33.7 77.1
"15241" -118.078362002954 33.7 120.7
"15242" -118.04546269741 33.7 123.9
"15382" -118.04546269741 33.7 110.1
"15383" -118.012563391866 33.7 48.8
"15522" -118.04546269741 33.7 127.4
"15523" -118.012563391866 33.7 91.6
"15524" -117.979664086322 33.7 120.7
"15663" -118.012563391866 33.6 122.9
"15664" -117.979664086322 33.6 105.1
"15665" -117.946764780779 33.6 116.1
"15805" -117.946764780779 33.6 100.6
"15806" -117.913865475235 33.6 98
"15807" -117.880966169691 33.6 119.2
"15947" -117.880966169691 33.6 102
"15948" -117.848066864148 33.6 104.3
"16088" -117.848066864148 33.6 63.2
"16089" -117.815167558604 33.6 105.3
"16090" -117.78226825306 33.6 127.2
"16230" -117.78226825306 33.5 91.6
"16231" -117.749368947516 33.5 110.6
"16371" -117.749368947516 33.5 85.9
"16485" -118.604750891653 33.5 158.2
"16486" -118.571851586109 33.5 84.1
"16511" -117.749368947516 33.5 61.6
"16512" -117.716469641973 33.5 55.5
"16626" -118.571851586109 33.4 137.8
"16627" -118.538952280566 33.4 66.3
"16628" -118.506052975022 33.4 85.8
"16652" -117.716469641973 33.4 52.2
"16653" -117.683570336429 33.4 53.8
"16654" -117.650671030885 33.4 53.1
"16766" -118.571851586109 33.4 138.4
"16767" -118.538952280566 33.4 82.6
"16768" -118.506052975022 33.4 100
"16769" -118.473153669478 33.4 75.3
"16770" -118.440254363935 33.4 461.5
"16771" -118.407355058391 33.4 62.3
"16772" -118.374455752847 33.4 66.7
"16794" -117.650671030885 33.4 51.5
"16795" -117.617771725341 33.4 48.9
"16909" -118.473153669478 33.4 91.2
"16912" -118.374455752847 33.4 52.9
"16935" -117.617771725341 33.4 55
"16936" -117.584872419798 33.4 55.4
"17049" -118.473153669478 33.4 52.4
"17052" -118.374455752847 33.4 135.4
"17053" -118.341556447303 33.4 61.9
"17076" -117.584872419798 33.4 56.9
"17077" -117.551973114254 33.4 56.4
"17078" -117.51907380871 33.4 44.1
"17189" -118.473153669478 33.3 119
"17193" -118.341556447303 33.3 76.1
"17194" -118.30865714176 33.3 51.8
"17218" -117.51907380871 33.3 55.3
"17329" -118.473153669478 33.3 121.7
"17330" -118.440254363935 33.3 98.3
"17331" -118.407355058391 33.3 125
"17332" -118.374455752847 33.3 127.2
"17334" -118.30865714176 33.3 101.1
"17359" -117.486174503167 33.3 55.3
"17500" -117.453275197623 33.3 39.6
"17640" -117.453275197623 33.3 39.6
