"x" "y" "layer"
"10" -120.643994856865 35 76.3
"11" -120.611517895542 35 89.6
"131" -120.643994856865 35 81.2
"252" -120.643994856865 35 85
"373" -120.643994856865 35 43.6
"493" -120.676471818187 34.9 95.8
"494" -120.643994856865 34.9 96.9
"614" -120.676471818187 34.9 273.2
"615" -120.643994856865 34.9 73
"736" -120.643994856865 34.9 80.8
"737" -120.611517895542 34.9 121.8
"858" -120.611517895542 34.9 80.1
"979" -120.611517895542 34.8 136.4
"1100" -120.611517895542 34.8 50.6
"1220" -120.643994856865 34.8 123.4
"1221" -120.611517895542 34.8 212.4
"1341" -120.643994856865 34.7 89.5
"1342" -120.611517895542 34.7 64.5
"1463" -120.611517895542 34.7 76.1
"1464" -120.579040934219 34.7 123.9
"1584" -120.611517895542 34.7 94.9
"1585" -120.579040934219 34.7 154.1
"1705" -120.611517895542 34.7 93
"1825" -120.643994856865 34.6 265.3
"1826" -120.611517895542 34.6 74.2
"1946" -120.643994856865 34.6 233.5
"2067" -120.643994856865 34.6 85.3
"2188" -120.643994856865 34.6 158.8
"2189" -120.611517895542 34.6 236
"2190" -120.579040934219 34.6 219.5
"2191" -120.546563972897 34.6 138.3
"2312" -120.546563972897 34.5 91.8
"2313" -120.514087011574 34.5 63.6
"2314" -120.481610050251 34.5 241.8
"2434" -120.514087011574 34.5 119.1
"2435" -120.481610050251 34.5 117.9
"2556" -120.481610050251 34.5 131.8
"2559" -120.384179166284 34.5 68.8
"2560" -120.351702204961 34.5 149
"2561" -120.319225243638 34.5 147.1
"2562" -120.286748282316 34.5 52.1
"2563" -120.254271320993 34.5 83.5
"2564" -120.221794359671 34.5 103.2
"2565" -120.189317398348 34.5 104.4
"2566" -120.156840437025 34.5 67.8
"2567" -120.124363475703 34.5 62.9
"2568" -120.09188651438 34.5 72.6
"2569" -120.059409553057 34.5 94.2
"2570" -120.026932591735 34.5 86.7
"2571" -119.994455630412 34.5 107.5
"2677" -120.481610050251 34.4 179.6
"2678" -120.449133088929 34.4 80.4
"2679" -120.416656127606 34.4 83.8
"2680" -120.384179166284 34.4 72.3
"2681" -120.351702204961 34.4 125.7
"2689" -120.09188651438 34.4 85.3
"2691" -120.026932591735 34.4 134.4
"2692" -119.994455630412 34.4 76.6
"2693" -119.96197866909 34.4 106.6
"2694" -119.929501707767 34.4 104.4
"2695" -119.897024746444 34.4 139.8
"2816" -119.897024746444 34.4 51.5
"2817" -119.864547785122 34.4 52.4
"2823" -119.669686017186 34.4 73.1
"2824" -119.637209055863 34.4 66.9
"2825" -119.604732094541 34.4 78.8
"2826" -119.572255133218 34.4 83.3
"2827" -119.539778171896 34.4 85.4
"2942" -119.734639939831 34.4 86.9
"2943" -119.702162978509 34.4 54.7
"2948" -119.539778171896 34.4 83.7
"2949" -119.507301210573 34.4 51.8
"2950" -119.47482424925 34.4 66.2
"3071" -119.47482424925 34.4 77.3
"3072" -119.442347287928 34.4 60
"3073" -119.409870326605 34.4 192
"3193" -119.442347287928 34.3 104
"3194" -119.409870326605 34.3 90.4
"3195" -119.377393365283 34.3 139
"3315" -119.409870326605 34.3 67.4
"3316" -119.377393365283 34.3 117.4
"3317" -119.34491640396 34.3 112.5
"3438" -119.34491640396 34.3 124.5
"3439" -119.312439442637 34.3 103.3
"3440" -119.279962481315 34.3 136.3
"3561" -119.279962481315 34.3 127.6
"3682" -119.279962481315 34.2 52.3
"3683" -119.247485519992 34.2 52.5
"3804" -119.247485519992 34.2 77.7
"3925" -119.247485519992 34.2 159.6
"3926" -119.215008558669 34.2 78.9
"4047" -119.215008558669 34.1 75.9
"4170" -119.150054636024 34.1 68
"4291" -119.150054636024 34.1 75.5
"4292" -119.117577674702 34.1 69.9
"4293" -119.085100713379 34.1 76.2
"4294" -119.052623752056 34.1 77.2
"4295" -119.020146790734 34.1 80.2
"4416" -119.020146790734 34.1 53.2
"4417" -118.987669829411 34.1 54
