"x" "y" "layer"
"1064" -120.899601250873 35.2 209.2
"1065" -120.866966028959 35.2 209.2
"1212" -120.866966028959 35.2 192.6
"1360" -120.834330807045 35.2 216.7
"1361" -120.801695585131 35.2 71.4
"2248" -120.63851947556 35 149.8
"2395" -120.63851947556 35 159
"2542" -120.63851947556 35 159
"2688" -120.671154697474 34.9 159
"2835" -120.671154697474 34.9 157.1
"2982" -120.671154697474 34.9 207.2
"2983" -120.63851947556 34.9 101.6
"3130" -120.63851947556 34.9 59.1
"3131" -120.605884253646 34.9 68.5
"3278" -120.605884253646 34.8 107.3
"3424" -120.63851947556 34.8 144
"3425" -120.605884253646 34.8 120.3
"3571" -120.63851947556 34.8 79.9
"3572" -120.605884253646 34.8 171.8
"3718" -120.63851947556 34.8 102.9
"3865" -120.63851947556 34.7 75.8
"3866" -120.605884253646 34.7 83.2
"4013" -120.605884253646 34.7 75.6
"4160" -120.605884253646 34.7 72
"4306" -120.63851947556 34.7 159.7
"4307" -120.605884253646 34.7 92.3
"4453" -120.63851947556 34.6 77.6
"4600" -120.63851947556 34.6 97.2
"4747" -120.63851947556 34.6 77.8
"4748" -120.605884253646 34.6 169.8
"4749" -120.573249031732 34.6 195.6
"4894" -120.63851947556 34.5 253.4
"4895" -120.605884253646 34.5 183.6
"4896" -120.573249031732 34.5 146.8
"4897" -120.540613809818 34.5 98.3
"4898" -120.507978587904 34.5 123.8
"5045" -120.507978587904 34.5 80.3
"5192" -120.507978587904 34.5 159
"5193" -120.47534336599 34.5 79.6
"5203" -120.148991146849 34.5 62.8
"5204" -120.116355924935 34.5 62.4
"5340" -120.47534336599 34.5 56.2
"5341" -120.442708144076 34.5 123.2
"5342" -120.410072922162 34.5 106.6
"5343" -120.377437700247 34.5 140.9
"5344" -120.344802478333 34.5 147.1
"5345" -120.312167256419 34.5 554.9
"5346" -120.279532034505 34.5 42.8
"5347" -120.246896812591 34.5 54.2
"5348" -120.214261590677 34.5 52.4
"5349" -120.181626368763 34.5 60.1
"5350" -120.148991146849 34.5 61.2
"5351" -120.116355924935 34.5 65.8
"5352" -120.083720703021 34.5 52.2
"5353" -120.051085481106 34.5 51.9
"5354" -120.018450259192 34.5 55.9
"5355" -119.985815037278 34.5 57.2
"5356" -119.953179815364 34.5 62.5
"5487" -120.47534336599 34.4 230.5
"5488" -120.442708144076 34.4 49.4
"5502" -119.985815037278 34.4 50.5
"5503" -119.953179815364 34.4 59.1
"5504" -119.92054459345 34.4 58.5
"5505" -119.887909371536 34.4 64.8
"5513" -119.626827596223 34.4 45.8
"5514" -119.594192374309 34.4 45.8
"5652" -119.887909371536 34.4 60.4
"5653" -119.855274149622 34.4 67.5
