"x" "y" "layer"
"6" -121.240489069135 35.7 378.8
"7" -121.207914185634 35.7 378.8
"8" -121.175339302132 35.7 235
"146" -121.175339302132 35.6 322.6
"147" -121.142764418631 35.6 343.6
"285" -121.142764418631 35.6 297.6
"286" -121.110189535129 35.6 378.8
"424" -121.110189535129 35.6 314.5
"562" -121.110189535129 35.5 282.5
"563" -121.077614651628 35.5 323.6
"701" -121.077614651628 35.5 378.8
"702" -121.045039768126 35.5 366.3
"840" -121.045039768126 35.5 366.3
"841" -121.012464884624 35.5 366.3
"979" -121.012464884624 35.5 70.2
"980" -120.979890001123 35.5 118.1
"981" -120.947315117621 35.5 212.6
"1119" -120.947315117621 35.4 237.1
"1120" -120.91474023412 35.4 192.8
"1121" -120.882165350618 35.4 244.1
"1259" -120.882165350618 35.4 198.9
"1260" -120.849590467117 35.4 151.7
"1397" -120.882165350618 35.4 157.4
"1398" -120.849590467117 35.4 133.5
"1535" -120.882165350618 35.4 151.9
"1536" -120.849590467117 35.4 105
"1673" -120.882165350618 35.3 154.2
"1674" -120.849590467117 35.3 68
"1675" -120.817015583615 35.3 71.6
"1811" -120.882165350618 35.3 153.5
"1949" -120.882165350618 35.3 132.4
"2086" -120.91474023412 35.2 161.5
"2087" -120.882165350618 35.2 61.6
"2225" -120.882165350618 35.2 316.3
"2226" -120.849590467117 35.2 286.3
"2364" -120.849590467117 35.2 341.4
"2365" -120.817015583615 35.2 230.8
"2366" -120.784440700113 35.2 337.8
"2367" -120.751865816612 35.2 279.9
"2368" -120.71929093311 35.2 380.5
"2504" -120.784440700113 35.2 226.6
"2505" -120.751865816612 35.2 225.3
"2506" -120.71929093311 35.2 248.4
"2507" -120.686716049609 35.2 168
"2508" -120.654141166107 35.2 298
"2646" -120.654141166107 35.1 200.1
"2647" -120.621566282606 35.1 283.5
"2785" -120.621566282606 35.1 188.8
"2923" -120.621566282606 35.1 250.8
"3061" -120.621566282606 35.1 243.4
"3199" -120.621566282606 35 202
"3336" -120.654141166107 35 188.1
"3337" -120.621566282606 35 374.4
"3474" -120.654141166107 35 207.3
"3612" -120.654141166107 35 145.5
"3750" -120.654141166107 34.9 84.2
"3887" -120.686716049609 34.9 159.9
"3888" -120.654141166107 34.9 101
"3889" -120.621566282606 34.9 259.4
"4026" -120.654141166107 34.9 203.7
"4027" -120.621566282606 34.9 80
