Ind.ID pred.pop 1 2 3
1 1 0.52 0.46 0.02
2 1 0.58 0.18 0.24
3 2 0.32 0.54 0.14
4 2 0.42 0.58 0
5 2 0.26 0.44 0.3
6 3 0.02 0.04 0.94
7 2 0.26 0.72 0.02
8 2 0.46 0.52 0.02
9 1 0.48 0.38 0.14
10 3 0.02 0.38 0.6
11 2 0.42 0.46 0.12
12 3 0.12 0.26 0.62
13 3 0.08 0.2 0.72
14 1 0.56 0.4 0.04
15 2 0.22 0.78 0
16 2 0.44 0.5 0.06
17 1 0.66 0.28 0.06
18 2 0.26 0.52 0.22
19 1 0.44 0.34 0.22
20 1 0.7 0.3 0
21 3 0 0.2 0.8
22 2 0.46 0.48 0.06
23 3 0.02 0.08 0.9
24 1 0.62 0.34 0.04
25 1 0.5 0.46 0.04
26 1 0.52 0.46 0.02
27 1 0.54 0.44 0.02
28 3 0.02 0.04 0.94
29 1 0.6 0.24 0.16
30 2 0.4 0.56 0.04
31 2 0.34 0.46 0.2
32 2 0.44 0.44 0.12
33 3 0.1 0.2 0.7
34 3 0.2 0.06 0.74
35 2 0.46 0.48 0.06
36 3 0.1 0.12 0.78
37 3 0.08 0.18 0.74
38 2 0.44 0.5 0.06
39 1 0.46 0.36 0.18
40 2 0.18 0.8 0.02
41 3 0.2 0.14 0.66
42 2 0.18 0.62 0.2
